,question,entities,resources,MuHeQA_Cand,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Spotlight
2755,where in the united states did edmund bailey o'callaghan die?,"[""Edmund Bailey O'Callaghan""]","[""Edmund_Bailey_O'Callaghan""]","[""Edmund_Bailey_O'Callaghan"", 'Parti_canadien', 'Phillipe-Ignace_François_Aubert_de_Gaspé']","[""Edmund_Bailey_O'Callaghan""]","[""Edmund_Bailey_O'Callaghan""]","[""Edmund_Bailey_O'Callaghan""]","[""Edmund_Bailey_O'Callaghan""]","[""Edmund_Bailey_O'Callaghan""]"
2756,who was the cinematographer of the film a feud in the kentucky hills,['A Feud in the Kentucky Hills'],['A_Feud_in_the_Kentucky_Hills'],"['A_Feud_in_the_Kentucky_Hills', 'James_Anderson_Burns', 'Southwestern_High_School_(Kentucky)']",['A_Feud_in_the_Kentucky_Hills'],['A_Feud_in_the_Kentucky_Hills'],['A_Feud_in_the_Kentucky_Hills'],['A_Feud_in_the_Kentucky_Hills'],"['Cinematographer', 'Feud', 'Kentucky']"
2757,"what genre is hawthorne, ca: birthplace of a musical legacy","['Hawthorne, CA (album)']","['Hawthorne,_CA_(album)']","['Hawthorne,_CA_(album)', 'If_Only_You_Were_Lonely', 'The_Beach_Boys_discography', 'Skeletons_(Hawthorne_Heights_album)', 'Cuco_(musician)', 'Nine_Reasons_to_Say_Goodbye', 'Dios_(malos)', 'Cha-licious', 'Brian_Virtue', 'Wallichs_Music_City']","['Hawthorne,_CA_(album)']","['Hawthorne,_CA_(album)']","['Hawthorne,_CA_(album)']","['Hawthorne,_CA_(album)']",['Crataegus']
2758,donny baldwin is best known for what kind of music,['Donny Baldwin'],['Donny_Baldwin'],"['Donny_Baldwin', 'List_of_General_Hospital_characters', 'List_of_minor_planets:_4001–5000', 'Winds_of_Change_(Jefferson_Starship_album)', 'John_Baldwin_Sr.', 'List_of_Starship_members', 'The_Possessed_(1965_film)', 'Una_donna']",['Donny_Baldwin'],['Donny_Baldwin'],['Donny_Baldwin'],['Donny_Baldwin'],['Donny_Baldwin']
2759,who published chuck rock ii: son of chuck,['Chuck Rock II: Son of Chuck'],['Chuck_Rock_II:_Son_of_Chuck'],"['Chuck_Rock_II:_Son_of_Chuck', 'Kilroy_Was_Here_(album)', 'Cliffs_of_Dover_(composition)']",['Chuck_Rock_II:_Son_of_Chuck'],['Chuck_Rock_II:_Son_of_Chuck'],['Chuck_Rock_II:_Son_of_Chuck'],['Chuck_Rock_II:_Son_of_Chuck'],"['Chuck_Rock', 'Chuck_steak']"
2760,What gender is Gerardus Mercator?,['Gerardus Mercator'],['Gerardus_Mercator'],"['Gerardus_Mercator', 'Mercator_projection', 'Rupelmonde', 'Gemma_Frisius', 'Mercator_1569_world_map', 'Gangelt', 'Coma_Berenices', 'Rumold_Mercator', 'Golden_Woman', 'Rupes_Nigra']",['Gerardus_Mercator'],['Gerardus_Mercator'],['Gerardus_Mercator'],['Gerardus_Mercator'],"['Gender', 'Gerardus_Mercator']"
2761,which record label is jamiroquai signed to,['Jamiroquai'],['Jamiroquai'],"['Jamiroquai', 'Automaton_(album)', 'Dynamite_(Jamiroquai_album)', 'Kids_(Jamiroquai_song)', 'The_Return_of_the_Space_Cowboy', 'Travelling_Without_Moving', 'Jamiroquai_–_Live_at_Montreux_2003', 'Automaton_(song)', 'Cosmic_Girl_(song)', 'Scam_(song)']",['Jamiroquai'],['Jamiroquai'],['Jamiroquai'],['Jamiroquai'],"['Record_label', 'Jamiroquai']"
2762,what was the death location of walter behrendt,['Walter Behrendt'],['Walter_Behrendt'],"['Walter_Curt_Behrendt', ""List_of_Knight's_Cross_of_the_Iron_Cross_recipients_(M)"", 'Walter_Behrendt', 'List_of_minor_planet_discoverers', 'Walter_Behrens', 'Walter_Berndt', ""List_of_Knight's_Cross_of_the_Iron_Cross_recipients_(Ba–Bm)"", 'Walter_Behrens_(statistician)', 'Behrens–Fisher_problem', 'Smitty_(comic_strip)']",['Walter_Behrendt'],['Walter_Behrendt'],"['Walter_Behrendt', 'Walter_Curt_Behrendt']","['Walter_Berndt', 'Walter_Behrendt']",['Walter_Behrendt']
2763,what kind of music does suzana petričević make?,['Suzana Petricevic'],['Suzana_Petričević'],['Suzana_Petričević'],['Suzana_Petričević'],['Suzana_Petričević'],['Suzana_Petričević'],['Suzana_Petričević'],['Suzana_Petričević']
2764,which locates battle of gela,['Battle of Gela (405 BC)'],['Battle_of_Gela_(405_BC)'],['Battle_of_Gela_(405_BC)'],['Battle_of_Gela_(405_BC)'],['Battle_of_Gela_(405_BC)'],['Battle_of_Gela_(405_BC)'],['Battle_of_Gela_(405_BC)'],['Gela']
2765,what is the gender of shauna mullin,['Shauna Mullin'],['Shauna_Mullin'],"['Shauna_Mullin', 'Shawn_Mullins', 'List_of_Jericho_characters', 'Zara_Dampney', '2007–08_Adelaide_United_FC_season', 'Paul_Lloyd_(boxer)']",['Shauna_Mullin'],['Shauna_Mullin'],['Shauna_Mullin'],['Shauna_Mullin'],"['Gender', 'Shauna_Mullin']"
2766,what is the genre of the videogame earth 2160,['Earth 2160'],['Earth_2160'],"[""Daleks'_Invasion_Earth_2150_A.D."", 'Earth_2140', 'Earth_2160', 'Earth_2150', 'Earth_2100', 'Earth_2150:_The_Moon_Project', 'Earth_2150:_Lost_Souls', 'Minute_and_second_of_arc', 'Johann_Palisa', 'Earth_Gravitational_Model']",['Earth_2160'],['Earth_2160'],['Earth_2160'],['Earth_2160'],"['Video_game', 'Earth_2160']"
2767,What tv/film director was born in gijón?,['Gijon'],['Gijón'],"['Sporting_de_Gijón', 'Gijón', 'Sporting_de_Gijón_B', 'Gijón_Baloncesto', 'UD_Gijón_Industrial', 'Colegio_de_la_Inmaculada_(Gijón)', 'Café_Gijón', 'Aitana_Sánchez-Gijón', 'CP_Gijón_Solimar', 'Gijón_(comarca)']",['Gijón'],['Gijón'],['Gijón'],['Gijón'],"['Film_director', 'Gijón']"
2768,What is grady adkins's gender?,['Grady Adkins'],['Grady_Adkins'],"['Grady_Adkins', 'More_(Trace_Adkins_song)', 'Rosen_Publishing', 'Williamson_County_Schools', 'Sheldon_College', ""St._Mary's_Academy,_Meerut"", 'Abbey_Gateway,_Reading', 'The_Briarwood_School_(Houston,_Texas)', ""St._Stephen's_Episcopal_School_Houston"", 'Covenham_St_Bartholomew']",['Grady_Adkins'],['Grady_Adkins'],['Grady_Adkins'],['Grady_Adkins'],"['Grady_Adkins', 'Gender']"
2769,what position does jon stevenson play,['Jon Stevenson'],['Jon_Stevenson'],"['Jon_Stevens', 'John_W._Stevenson', 'Jon_Corzine', 'John_Stevenson', 'John_Stevenson_(Queensland_politician)', 'Job_E._Stevenson', 'John_Stevenson_(British_politician)', 'Jon_Stevenson', 'John_Andrew_Stevenson', 'Joe_Stevenson']",['Jon_Stevenson'],['Jon_Stevenson'],['Jon_Stevenson'],['Jon_Stevenson'],['Jon_Stevenson']
2770,what is the place of birth for  charleston hughes,['Charleston Hughes'],['Charleston_Hughes'],"['Charleston_Hughes', 'Mark_Bowen_(footballer)', '1922_Australian_federal_election', 'Bryan_Hughes', 'USS_Manning_(DE-199)', 'Charlestown_Mob', 'Members_of_the_Australian_House_of_Representatives,_1922–1925', 'Sytek_Inc', 'Joseph_Hughes_(footballer)', 'Members_of_the_New_South_Wales_Legislative_Assembly,_1971–1973']",['Charleston_Hughes'],['Charleston_Hughes'],['Charleston_Hughes'],['Charleston_Hughes'],['Charleston_Hughes']
2771,what type of show is jeopardy,['Jeopardy!'],['Jeopardy!'],"['Jeopardy!', 'List_of_Jeopardy!_tournaments_and_events', 'Jeopardy!_(franchise)', 'Jeopardy!_broadcast_information', 'List_of_Jeopardy!_contestants', 'Double_jeopardy', 'Ultimate_Jeopardy', 'Matt_Jackson_(Jeopardy!_contestant)', 'Double_Jeopardy', 'Jeopardy_(TV_series)']",['Jeopardy!'],['Jeopardy!'],['Jeopardy!'],['Jeopardy!'],[]
2772,what is eddie lawrence's gender?,['Eddie Lawrence'],['Eddie_Lawrence'],"['Eddie_Lawrence', 'List_of_Frasier_characters', 'North_Tyneside', 'Eddie_Johnson_(musician)', 'List_of_Oz_(TV_series)_characters', 'Eddie_Lawrence_(footballer)', 'Class_of_3000', 'List_of_Shortland_Street_characters', 'Maltese_Government_2003–08', 'Edward_Albert']",['Eddie_Lawrence'],['Eddie_Lawrence'],['Eddie_Lawrence'],['Eddie_Lawrence'],"['Eddie_Lawrence', 'Gender']"
2773,who directed tenacious d in the pick of destiny,['Tenacious D in The Pick of Destiny'],['Tenacious_D_in_The_Pick_of_Destiny'],"['Tenacious_D_in_The_Pick_of_Destiny', 'The_Pick_of_Destiny', 'The_Pick_of_Destiny_Tour_(2006–2007)', 'Jack_Black', 'Tenacious_D_(TV_series)', 'John_Konesky', 'JR_Reed_(actor)', 'POD_(song)', 'David_Rennie_(editor)', 'The_Complete_Master_Works_2']",['Tenacious_D_in_The_Pick_of_Destiny'],['Tenacious_D_in_The_Pick_of_Destiny'],['Tenacious_D_in_The_Pick_of_Destiny'],['Tenacious_D_in_The_Pick_of_Destiny'],[]
2774,who directed the film i saw what you did?,['I Saw What You Did'],['I_Saw_What_You_Did'],"['I_Saw_What_You_Did', 'Supernatural_(season_4)', 'List_of_The_Drew_Carey_Show_episodes', 'I_Saw_What_You_Did_(1988_film)', 'Yu-Gi-Oh!_GX', 'Invader_Zim', 'Patricia_Breslin', 'Fred_Walton_(director)', 'Douglas_Evans_(actor)', 'Halloween_(2007_film)']",['I_Saw_What_You_Did'],['I_Saw_What_You_Did'],['I_Saw_What_You_Did'],"['I_Saw_What_You_Did', 'I_Saw_What_You_Did_(1988_film)']",[]
2775,What nationality is felix halfon,['Felix Halfon'],['Felix_Halfon'],['Felix_Halfon'],['Felix_Halfon'],['Felix_Halfon'],['Felix_Halfon'],['Felix_Halfon'],['Felix_Halfon']
2776,what language is thiruvambadi thamban in?,['Thiruvambadi Thamban'],['Thiruvambadi_Thamban'],['Thiruvambadi_Thamban'],['Thiruvambadi_Thamban'],['Thiruvambadi_Thamban'],['Thiruvambadi_Thamban'],['Thiruvambadi_Thamban'],"['Language', 'Thiruvambadi_Thamban']"
2777,which position in football does michael galea play as?,['Michael Galea'],['Michael_Galea'],"['Michael_Galea', 'List_of_Dynasty_(1981_TV_series)_characters', 'List_of_Babylon_5_characters', 'List_of_The_Passage_characters', ""Saint_Michael's_Catholic_Church_(Galena,_Illinois)"", 'Ice_Age:_Collision_Course', 'Stalko', 'Herbert_Michael_Gilles', 'Amato_Lusitano', 'Center_for_Applied_Rationality']",['Michael_Galea'],['Michael_Galea'],['Michael_Galea'],['Michael_Galea'],"['Association_football', 'Michael_Galea']"
2778,who was a famous cricketeer born in woolwich,['Woolwich'],['Woolwich'],"['Woolwich', 'Woolwich_Dockyard', 'Arsenal_F.C.', 'Royal_Military_Academy,_Woolwich', 'Woolwich,_Ontario', 'Woolwich,_Maine', 'Bishop_of_Woolwich', 'Woolwich_Township,_New_Jersey', 'Woolwich_(parish)', 'The_Woolwich']",['Woolwich'],['Woolwich'],['Woolwich'],['Woolwich'],['Woolwich']
2779,who is the director for a charlie brown christmas,['A Charlie Brown Christmas'],['A_Charlie_Brown_Christmas'],"['A_Charlie_Brown_Christmas', 'I_Want_a_Dog_for_Christmas,_Charlie_Brown', 'A_Charlie_Brown_Christmas_(soundtrack)', 'List_of_Scrubs_episodes', 'List_of_Survivor_(American_TV_series)_contestants', 'List_of_Will_&_Grace_episodes', ""Charlie_Brown's_Christmas_Tales"", ""It's_Christmastime_Again,_Charlie_Brown"", 'Charlie_Brown_Christmas_Special', 'Bill_Melendez']",['A_Charlie_Brown_Christmas'],['A_Charlie_Brown_Christmas'],['A_Charlie_Brown_Christmas'],['A_Charlie_Brown_Christmas'],['Charlie_Brown']
2780,who directed the film cows,['Vacas'],['Vacas'],"['Vasas_SC', 'Illán_de_Vacas', 'Vacas,_Villalba,_Puerto_Rico', 'Las_Vacas_Dam', 'Punta_de_Vacas', 'Punta_de_Vacas_chinchilla_rat', 'Río_de_las_Vacas', 'Vacas,_Cochabamba', 'Romanesca', 'Curro_Vacas']","['Vacas,_Cochabamba']","['Vacas,_Villalba,_Puerto_Rico']","['Vacas,_Villalba,_Puerto_Rico']","['Vacas,_Cochabamba']",[]
2781,what position does eufemio cabral play in football,['Eufemio Cabral'],['Eufemio_Cabral'],['Eufemio_Cabral'],['Eufemio_Cabral'],['Eufemio_Cabral'],['Eufemio_Cabral'],['Eufemio_Cabral'],"['Eufemio_Zapata', 'Association_football']"
2782,which gender does oliver stanley murs identify as,['Olly Murs'],['Olly_Murs'],"['Olly_Murs', 'Olly_Murs_(album)', '24_Hrs_(album)', 'Olly_Murs_discography', 'You_Know_I_Know_(album)', 'Up_(Olly_Murs_song)', 'Unpredictable_(Olly_Murs_and_Louisa_Johnson_song)', 'Beautiful_to_Me_(Olly_Murs_song)', 'Years_&_Years_(song)', 'List_of_songs_recorded_by_Olly_Murs']",['Olly_Murs'],['Olly_Murs'],['Olly_Murs'],['Olly_Murs'],"['Gender', 'Oliver_Stanley', 'Murs_(rapper)']"
2783,Which bridge is on the schuylkill river?,['Schuylkill River'],['Schuylkill_River'],"['Schuylkill_River', 'Schuylkill_River_Trail', 'Schuylkill_River_Bridge', 'Antietam_Creek_(Schuylkill_River_tributary)', 'French_Creek_(Schuylkill_River_tributary)', 'Philadelphia_and_Reading_Railroad,_Schuylkill_River_Viaduct', 'Hay_Creek_(Schuylkill_River_tributary)', 'Monocacy_Creek_(Schuylkill_River_tributary)', 'Schuylkill_River_National_and_State_Heritage_Area', 'Indian_Run_(Little_Schuylkill_River_tributary)']",['Schuylkill_River'],['Schuylkill_River'],['Schuylkill_River'],"['Schuylkill_River_Bridge', 'Schuylkill_River']","['Bridge', 'Schuylkill_River']"
2784,which city was john souttar born,['John Souttar'],['John_Souttar'],"['John_Souttar', 'John_Soutar', 'John_Bulloch_Souter', 'J._D._Souther', 'John_Souther', 'John_Souttar_McKendrick', 'Charles_Soutar', 'John_Souther_House', 'John_David_Souther_(album)', 'Point_Souttar,_South_Australia']",['John_Souttar'],['John_Souttar'],['John_Souttar'],['John_Souttar'],"['City', 'John_Souttar']"
2785,What is the gender of romeo munoz cachola,['Romeo Munoz Cachola'],['Romeo_Munoz_Cachola'],['Romeo_Munoz_Cachola'],['Romeo_Munoz_Cachola'],['Romeo_Munoz_Cachola'],['Romeo_Munoz_Cachola'],['Romeo_Munoz_Cachola'],"['Gender', 'Romeo_Munoz_Cachola']"
2786,What gameplay mode is starsiege?,['Starsiege'],['Starsiege'],"['Starsiege', 'Starsiege:_Tribes', 'Magical_Starsign', 'Stafsinge_IF', 'Necroscope', 'Foundry_Networks', 'Starzinger', 'Tribes_(video_game_series)', 'Starsiedel', 'Starosiele']",['Starsiege'],['Starsiege'],['Starsiege'],['Starsiege'],['Starsiege']
2787,what is jean-jacques challet-venel's sex?,['Jean-Jacques Challet-Venel'],['Jean-Jacques_Challet-Venel'],['Jean-Jacques_Challet-Venel'],['Jean-Jacques_Challet-Venel'],['Jean-Jacques_Challet-Venel'],['Jean-Jacques_Challet-Venel'],['Jean-Jacques_Challet-Venel'],['Jean-Jacques_Challet-Venel']
2788,Where is alberto sordi from,['Alberto Sordi'],['Alberto_Sordi'],"['Alberto_Sordi', 'Galleria_Alberto_Sordi', 'Raimondo_Crociani', 'Marco_Risi', 'Those_Magnificent_Men_in_their_Flying_Machines', 'Journey_with_Papa', 'The_Letters_Page', 'The_Witness_(1978_film)', 'Help_Me,_My_Love', 'Pardon,_Are_You_For_or_Against%3F']",['Alberto_Sordi'],['Alberto_Sordi'],['Alberto_Sordi'],['Alberto_Sordi'],['Alberto_Sordi']
2789,what is ivan rusev's football position,['Ivan Rusev'],['Ivan_Rusev'],"['Ivan_Rusev_(footballer)', 'Ivan_Rudež', 'Rubén_Iván_Martínez', 'Ivan_Rusev', 'Ivan_Rusev_(badminton)', 'Ivan_Ruben', 'Marius_Petipa', 'Ivanovo,_Ruse_Province', 'Vadim_Yusov', ""Ladies'_Choice_(film)""]",[],[],['Ivan_Rusev_(footballer)'],['Ivan_Rusev_(footballer)'],"['Ivan_Rusev_(footballer)', 'Association_football']"
2790,Where was arun jaitley born?,['Arun Jaitley'],['Arun_Jaitley'],"['Arun_Jaitley', 'Arun_Jaitley_Stadium', 'Delhi_cricket_team', 'Delhi_Capitals', 'Amritsar_(Lok_Sabha_constituency)', 'Gurkanwal_Kaur', 'Delhi–Mumbai_Expressway', 'Kelkar_committee_on_PPP_in_India', '2018_Union_budget_of_India', '2016_Union_budget_of_India']",['Arun_Jaitley'],['Arun_Jaitley'],['Arun_Jaitley'],['Arun_Jaitley'],['Arun_Jaitley']
2791,Who is a person whose caused of death was dysentery?,['Dysentery'],['Dysentery'],"['Dysentery', 'Amoebiasis', 'Dysentery_bush', 'Enema_of_the_State', 'Simarouba_glauca', 'Shigellosis', 'Bacillary_dysentery', 'The_Oregon_Trail_(series)', 'Parasitism', 'Calea_(plant)']",['Dysentery'],['Dysentery'],['Dysentery'],['Dysentery'],['Dysentery']
2792,pearls iii is of what musical genre,['Pearls III (Close to the Edge)'],['Pearls_III_(Close_to_the_Edge)'],['Pearls_III_(Close_to_the_Edge)'],['Pearls_III_(Close_to_the_Edge)'],['Pearls_III_(Close_to_the_Edge)'],['Pearls_III_(Close_to_the_Edge)'],['Pearls_III_(Close_to_the_Edge)'],['Music_genre']
2793,what position did baseball player dick hahn play,['Dick Hahn'],['Dick_Hahn'],"['Dirk_Meinerts_Hahn', 'Dick_Hahn', 'Han_conquest_of_Dian', ""List_of_Ender's_Game_characters"", 'Gottfried_Vopelius', 'Vietnamese_Martyrs', 'Deepak_Tijori', 'Hahndorf,_South_Australia', 'Janus_(musical_project)', ""Dumplin'_(film)""]",['Dick_Hahn'],['Dick_Hahn'],['Dick_Hahn'],['Dick_Hahn'],['Dick_Hahn']
2794,what is a film directed by michel gondry,['Michel Gondry'],['Michel_Gondry'],"['Michel_Gondry', 'Directors_Label', 'Michel_Gondry_2:_More_Videos_(Before_and_After_DVD_1)', 'Eternal_Sunshine_of_the_Spotless_Mind', 'The_Science_of_Sleep', 'Tokyo!', 'Miou-Miou', 'The_Thorn_in_the_Heart', 'Be_Kind_Rewind', 'The_Living_Sisters']",['Michel_Gondry'],['Michel_Gondry'],['Michel_Gondry'],['Michel_Gondry'],['Michel_Gondry']
2795,What is the name of a post-punk album?,['Post-punk'],['Post-punk'],"['Post-punk', 'Post-punk_revival', 'Post-hardcore', 'Gothic_rock', 'Metalcore', 'Emo', 'Melodic_hardcore', 'Cyberpunk_derivatives', 'MC_Lars', '2000s_in_music']",['Post-punk'],['Post-punk'],['Post-punk'],['Post-punk'],['Post-punk']
2796,what gender is  william arthur cochrane,['William Arthur Cochrane'],['William_Arthur_Cochrane'],"['List_of_Alamo_defenders', 'Arthur_Cochrane_(officer_of_arms)', 'William_Arthur_Cochrane', 'St._Michael_of_Scarborough', 'Thunder_Bay_(electoral_district)']",['William_Arthur_Cochrane'],['William_Arthur_Cochrane'],['William_Arthur_Cochrane'],['William_Arthur_Cochrane'],"['Gender', 'William_Arthur_Cochrane']"
2797,What was the place of birth of mahesh thakur,['Mahesh Thakur'],['Mahesh_Thakur'],"['Mahesh_Thakur', 'Thakurpukur_Maheshtala', 'Rastriya_Janata_Party_Nepal', 'Blue_Mountains_(2015_film)', 'Tarai-Madhesh_Loktantrik_Party', 'In_the_Name_of_Tai', 'Hum_Saath-Saath_Hain', 'Tomchi', 'Balak-Palak', 'Satya_2']",['Mahesh_Thakur'],['Mahesh_Thakur'],['Mahesh_Thakur'],['Mahesh_Thakur'],['Mahesh_Thakur']
2798,which label is suga-t signed to,['Suga-T'],['Suga-T'],"['Suga-T', 'Sugar', 'Louisiana', 'Toshiro_Suga', 'Takako_Shimazu', 'Sugar_Land,_Texas', 'Takamasa_Suga', 'Suva', ""Transport_and_General_Workers'_Union"", 'List_of_minor_planets:_6001–7000']",['Suga-T'],['Suga-T'],['Suga-T'],['Suga-T'],['Suga-T']
2799,what country does  taoyuan county serve,"['Taoyuan, Taiwan']","['Taoyuan,_Taiwan']","['Taoyuan,_Taiwan', 'Tainan', 'Taoyuan_International_Airport', 'Taoyuan_Airport_MRT', 'Daxi_District', 'Longtan_District,_Taoyuan', 'Yangmei_District', 'Zhongli_District', 'Taoyuan_HSR_station', 'Taiwan']","['Taoyuan,_Taiwan']","['Taoyuan,_Taiwan']","['Taoyuan,_Taiwan']","['Taoyuan,_Taiwan']",['Taoyuan_County']
2800,what is the genre of trout fishing in america's work,['Trout Fishing in America (band)'],['Trout_Fishing_in_America_(band)'],"['Trout_Fishing_in_America_(duo)', 'Knockmoyle']",['Trout_Fishing_in_America_(duo)'],['Trout_Fishing_in_America_(duo)'],['Trout_Fishing_in_America_(duo)'],['Trout_Fishing_in_America_(duo)'],"['Trout', 'Fishing']"
2801,what kind of artist is fiocco,['Fiocco (band)'],['Fiocco_(band)'],"['One_Minute_Silence', 'Fiocco_(band)', 'Investment_banking', 'Fiasco_(band)', 'Lupe_Fiasco', 'Television_(band)', 'Spookydisharmoniousconflicthellride', 'Neon_Boys', 'Gil_Norton', 'Wesley_Willis_Fiasco']",[],[],['Fiasco_(band)'],['Fiasco_(band)'],[]
2802,what is ted bulley's nationality?,['Ted Bulley'],['Ted_Bulley'],"['Ted_Bulley', 'Ted_Buckley', 'Teddy_Bullen', 'Clayhill', 'Home_Sweet_Hell', 'USS_Scroggins_(DE-799)', 'Bullet_(1996_film)', 'Darren_Ford_(baseball)', 'Flyovers_(play)', 'Victim_You']",['Ted_Bulley'],['Ted_Bulley'],['Ted_Bulley'],['Ted_Bulley'],['Ted_Bulley']
2803,which chinese footballer was born in zibo,['Zibo'],['Zibo'],"['Zibo', 'Zibo_Cuju_F.C.', 'Zibo–Dongying_railway', 'Zibo_train_collision', 'Zibo_Sports_Center_Stadium', 'Centro_de_Futebol_Zico_Sociedade_Esportiva', 'Shandong_Zibo_Experimental_High_School', 'Shandong_Energy', 'Nick_Zito', 'Wangcun,_Zibo']",['Zibo'],['Zibo'],"['Zibo_Cuju_F.C.', 'Zibo']","['Zibo_Cuju_F.C.', 'Zibo']","['Association_football', 'Zibo']"
2804,Who is the artist for porcupine tree?,['Porcupine Tree'],['Porcupine_Tree'],"['Porcupine_Tree', 'Porcupine_Tree_discography', 'Paraguaian_hairy_dwarf_porcupine', 'Mexican_hairy_dwarf_porcupine', 'Fear_of_a_Blank_Planet', 'Signify', 'Lazarus_(Porcupine_Tree_song)', 'Anesthetize_(Porcupine_Tree)', 'Atlanta_(album)', 'Shallow_(Porcupine_Tree_song)']",['Porcupine_Tree'],['Porcupine_Tree'],['Porcupine_Tree'],['Porcupine_Tree'],['Porcupine_Tree']
2805,"who wrote the book about moomin, mymble and little my?","['The Book about Moomin, Mymble and Little My']","['The_Book_about_Moomin,_Mymble_and_Little_My']","['The_Book_about_Moomin,_Mymble_and_Little_My']","['The_Book_about_Moomin,_Mymble_and_Little_My']","['The_Book_about_Moomin,_Mymble_and_Little_My']","['The_Book_about_Moomin,_Mymble_and_Little_My']","['The_Book_about_Moomin,_Mymble_and_Little_My']",['Moomins']
2806,what kind of celestial object is 1631 kopff,['1631 Kopff'],['1631_Kopff'],"['1631_Kopff', 'Stefano_Celesti', 'Lucrezio_Gravisi']",['1631_Kopff'],['1631_Kopff'],['1631_Kopff'],['1631_Kopff'],"['Astronomical_object', '1631_Kopff']"
2807,where did frigyes hollósi die?,['Frigyes Hollosi'],['Frigyes_Hollósi'],"['Frigyes_Hollósi_(sportsman)', 'Frigyes_Hollósi', 'Frigyes_Hollósi_(actor)', 'Situla_of_the_Pania']",['Frigyes_Hollósi_(sportsman)'],['Frigyes_Hollósi_(sportsman)'],['Frigyes_Hollósi_(sportsman)'],['Frigyes_Hollósi_(sportsman)'],['Frigyes_Hollósi_(actor)']
2808,what is gabriel Álvez's position,['Gabriel Alvez'],['Gabriel_Álvez'],"['Gabriel_Álvez', 'Gabriel_Fernández_Álvez', 'Gabriel_Melconian_Alvez', 'Vitor_Gabriel', 'List_of_minor_planets:_10001–11000', 'Gabriela_Alves', 'Damaris_Aguirre', 'Marco_Damasceno', 'Church_of_the_Holy_Archangels,_Pașcani', 'Alder_Creek_(Los_Angeles_County,_California)']",['Gabriel_Álvez'],['Gabriel_Álvez'],['Gabriel_Álvez'],['Gabriel_Álvez'],['Gabriel']
2809,what genre is the videogame 1942,['1942 (video game)'],['1942_(video_game)'],"['Early_history_of_video_games', 'Mod_(video_games)', 'Battlefield_1942', 'List_of_Terminator_video_games', 'Beetlejuice_(video_game)', 'History_of_Microsoft_Flight_Simulator', 'Lemmings_(video_game)', 'The_Oregon_Trail_(1971_video_game)', '1942_(video_game)', 'Battlehawks_1942']",['1942_(video_game)'],['1942_(video_game)'],['1942_(video_game)'],['1942_(video_game)'],['Video_game']
2810,what position does football player guy ngosso play,['Guy Ngosso'],['Guy_Ngosso'],"['Guy_Ngosso', 'List_of_populated_places_in_the_Tibet_Autonomous_Region', 'European_of_the_Year_(European_Voice_award)']",['Guy_Ngosso'],['Guy_Ngosso'],['Guy_Ngosso'],['Guy_Ngosso'],['Association_football']
2811,What metro area does ckzz-fm serve,['CKZZ-FM'],['CKZZ-FM'],"['CKZZ-FM', 'CKBZ-FM', 'CKWT-FM', 'CBU_(AM)', 'CKAC', 'CFGB-FM', 'CHOZ-FM', 'CFFB_(AM)', 'Aboriginal_Voices_Radio_Network', 'CKBD-FM']",['CKZZ-FM'],['CKZZ-FM'],['CKZZ-FM'],['CKZZ-FM'],"['Rapid_transit', 'CKZZ-FM']"
2812,who wrote the novel eleven minutes,['Eleven Minutes'],['Eleven_Minutes'],"['Doomsday_Clock', 'Eleven_Minutes', '11_Minutes_(film)', 'Isotopes_of_praseodymium', 'Isotopes_of_thulium', 'Karasuma_Line', 'Here_Comes_the_Night_(Beach_Boys_song)', 'Isotopes_of_lanthanum', 'Isotopes_of_cobalt', 'Isotopes_of_roentgenium']",['Eleven_Minutes'],['Eleven_Minutes'],"['Eleven_Minutes', '11_Minutes_(film)']","['Eleven_Minutes', '11_Minutes_(film)']",['Eleven_Minutes']
2813,What is jul kustus's profession?,['Jul Kustus'],['Jul_Kustus'],"['Jul_Kustus', 'List_of_minor_planet_discoverers', 'Zanesville_Moguls', 'British_Tag_Team_Championship_(RevPro)', 'Matěj_Kůs', 'List_of_Emmerdale_characters_(2013)', 'Peter_Kierkegaard', 'Johnnie_Parsons', 'Like_Mike_(soundtrack)', 'Skating_Polly']",['Jul_Kustus'],['Jul_Kustus'],['Jul_Kustus'],['Jul_Kustus'],['Jul_Kustus']
2814,who wrote the music for angel heart,['Angel Heart'],['Angel_Heart'],"['There_Must_Be_an_Angel_(Playing_with_My_Heart)', 'Angel_Heart_(manga)', 'List_of_Dark_Angel_episodes', 'How_Could_an_Angel_Break_My_Heart', 'List_of_songs_written_by_Hank_Williams', 'Angel_Heart', 'Heart_of_the_Angel', 'Angel_Heart_(disambiguation)', 'Lonely_Heart_(Angel)', 'Devil_Face,_Angel_Heart']",['Angel_Heart'],['Angel_Heart'],['Angel_Heart'],['Angel_Heart'],['Angel_Heart']
2815,Who plays piano?,['Piano'],['Piano'],"['Piano', 'Blues', 'Pianist', 'U.S._Ancona_1905', 'Electric_piano', 'Rhodes_piano', 'Cable_Piano_Company', 'Piano_pedagogy', 'Music_education', 'Musical_keyboard']",['Piano'],['Piano'],['Piano'],['Piano'],['Piano']
