,question,entities,MuHeQA_FLERT
4607,who composed the song the way we were?,['The Way We Were'],"['song', 'way']"
4608,what is a city in auglaize county ,['Auglaize County'],['auglaize county']
4609,what is the birthplace of joël vanhoebrouck,['Joël Vanhoebrouck'],['joël vanhoebrouck']
4610,Who's a country musician from america,['country music'],['america']
4611,Who is from south boston,['South Boston'],['south boston']
4612,where was daniel bekono originally from,['Daniel Bekono'],['daniel bekono']
4613,"what position does curtis marsh, jr. play?","['Curtis Marsh, Jr.']",['curtis marsh']
4614,what type of architectural style does shingle style architecture use,['Shingle style architecture'],"['architectural style', 'shingle style architecture']"
4615,which musical instrument is played by sebastienfansite,['Sébastien Izambard'],['sebastienfansite']
4616,who made moment of glory ,['Moment of Glory'],['glory']
4617,who is shyne's father,['Shyne'],['shyne']
4618,where is shirantha goonatilake's death place,['Shirantha Goonatilake'],['shirantha goonatilake']
4619,what company is the invisible with?,['The Invisible'],['company']
4620,what is sören link's nationality?,['Sören Link'],['sören link']
4621,"Who was birthed in dickson city, pennsylvania",['Dickson City'],"['dickson city', 'pennsylvania']"
4622,which position does maksym hramm play ,['Maksym Hramm'],['maksym hramm']
4623,what is an example of moorish revival architecture?,['Moorish Revival architecture'],['moorish revival architecture']
4624,what is the gender of salvatore bruno?,['Salvatore Bruno'],['salvatore bruno']
4625,what was the episode before sexual harassment (the office),['Sexual Harassment'],"['sexual harassment', 'office']"
4626,what is luisa rossi's nationality  ,['Luisa Rossi'],['luisa rossi']
4627,who wrote t.m.i.,['T.M.I.'],['t.m.i']
4628,what program was created by  charles m. schulz,['Charles M. Schulz'],['charles m. schulz']
4629,who is the developer of the videogame guitar hero: aerosmith?,['Guitar Hero: Aerosmith'],['aerosmith']
4630,What position did choi chang-yong play ,['Choi Chang-yong'],['choi chang-yong']
4631,which astronaut was in the space mission soyuz tma-1,['Soyuz TMA-1'],['space mission soyuz tma-1']
4632,What gender is Vesta Williams?,['Vesta Williams'],['Vesta Williams']
4633,Which country is the film happy tears from,['Happy Tears'],['country']
4634,What's a game from the series front mission,['Front Mission'],['series front mission']
4635,which country did bob sherman die in,['Bob Sherman'],['bob sherman']
4636,What type of show is master swordsman lu xiaofeng 2?,['Master Swordsman Lu Xiaofeng 2'],['master swordsman lu xiaofeng 2']
4637,what is the artist from the album songs of scotland,['Songs of Scotland'],['scotland']
4638,What country is cowan lake within,['Cowan Lake'],['country']
4639,what lyrics were written by howard ashman?,['Howard Ashman'],['howard ashman']
4640,Which genre of film is rock star (film)?,['Rock Star'],"['film', 'rock star', 'film']"
4641,Who plays defender in soccer,['defender'],['soccer']
4642,where was osvaldo golijov born?,['Osvaldo Golijov'],['osvaldo golijov']
4643,who developed sega soccer slam,['Sega Soccer Slam'],['sega soccer slam']
4644,what is an administrative division in somalia,['Somalia'],['somalia']
4645,Name a new wave music artist,['new wave'],['new wave music artist']
4646,What is a game domark developed?,['Domark Software'],['game domark']
4647,where was  andrzej pałys born,['Andrzej Pałys'],['andrzej pałys']
4648,which country does john hollinger belong to?,['John Hollinger'],['john hollinger']
4649,which european country is brighton and hove in ,['Brighton and Hove'],"['brighton and hove', 'european country']"
4650,what country is charleston in?,['Charleston'],['charleston']
4651,what type of game is lode runner,['Lode Runner'],"['game', 'lode runner']"
4652,where is the location of mary eleanor wilkins freeman's death,['Mary Eleanor Wilkins Freeman'],['mary eleanor wilkins freeman']
4653,who plays the piano?,['piano'],['piano']
4654,what types of game is plaque attack,['Plaque Attack'],"['game', 'plaque attack']"
4655,What position does mike varty play,['Mike Varty'],['mike varty']
4656,what kingdom was involved in battle of restigouche,['Battle of Restigouche'],['restigouche']
4657,What type of celestial object is 1389 onnie,['1389 Onnie'],"['celestial object', '1389 onnie']"
4658,who participated in the album the best of celine dion,['Best of Celine Dion'],['celine dion']
4659,where in china did zhang juzheng die,['Zhang Juzheng'],"['china', 'zhang juzheng']"
4660,where was timothy drury born ,['Timothy Drury'],['timothy drury']
4661,Who directed boss of bullion city?,['Boss of Bullion City'],['bullion city']
4662,what gameplay modes are available for elasto mania,['Elasto Mania'],"['gameplay modes', 'elasto mania']"
4663,what film did gregg toland do the cinematography for,['Gregg Toland'],['gregg toland']
4664,What is the lower classification for the gryllidae,['Gryllidae'],['gryllidae']
4665,Who put together the music for the movie dans les rues,['Dans les rues'],['dans les rues']
4666,which gender is rudra mohammad shahidullah,['Rudra Mohammad Shahidullah'],['rudra mohammad shahidullah']
4667,where did erik gustaf boström pass away ,['Erik Gustaf Boström'],['erik gustaf boström']
4668,What's a work by philip roth,['Philip Roth'],['philip roth']
4669,where was johann christian kittel born,['Johann Christian Kittel'],['johann christian kittel']
4670,what city used pacific time zone in Japan,['Pacific Time Zone'],['Japan']
4671,what is ion dragoumis known for ,['Ion Dragoumis'],[]
4672,what position did ben stephens play?,['Ben Stephens'],['ben stephens']
4673,what is the primary language of neutral port,['Neutral Port'],['neutral port']
4674,What 1936 film did gregory la cava write?,['Gregory La Cava'],['gregory la cava']
4675,which census designated place is found in willacy county,['Willacy County'],['willacy county']
4676,Which country did the program fireball xl5 originate in?,['Fireball XL5'],"['country', 'program fireball xl5']"
4677,What position does basketball player damien wilkins play?,['Damien Wilkins'],['basketball player damien wilkins']
4678,What's a conflict that took place in washington county,['Washington County'],['washington county']
4679,Who is the oldest son of will smith?,['Will Smith'],['will smith']
4680,what gender does poghos galstyan identify with,['Poghos Galstyan'],['poghos galstyan']
4681,What gender is Kaspar Munk?,['Kaspar Munk'],['Kaspar Munk']
4682,What is the name of the city where walter bullock died?,['Walter Bullock'],['walter bullock']
4683,what is the musician for what a wonderful world,['What a Wonderful World'],['wonderful world']
4684,what language is spoken in inaam dus hazaar,['Inaam Dus Hazaar'],['inaam dus hazaar']
4685,which artist released the saga continues,['The Saga Continues...'],"['artist', 'saga']"
4686,Who is a novelist born in 1939?,['novelist'],"['novelist', '1939']"
4687,Is abdul ghafoor ahmed a male or female,['Abdul Ghafoor Ahmed'],['abdul ghafoor ahmed']
4688,in what language is long live sung,['Long Live'],['language']
4689,Which bridge is a covered bridge?,['covered bridge'],"['bridge', 'covered bridge']"
4690,is el rapto from mexico or brazil,['The Rapture'],['mexico or brazil']
4691,"Who directed the cook, the thief, his wife & her lover?","['The Cook, the Thief, His Wife and Her Lover']","['cook', 'thief', 'wife &', 'lover']"
4692,in what language is the young nurses spoken,['The Young Nurses'],"['language', 'young nurses']"
4693,what is located in the mountain time zone?,['Mountain Time Zone'],['mountain time zone']
4694,what film genre is the order of myths under netflix,['The Order of Myths'],"['film genre', 'netflix']"
4695,where did zygmunt hobot die?,['Zygmunt Hobot'],['zygmunt hobot']
4696,"What is the profession of mel farr, jr.","['Mel Farr, Jr.']",['mel farr']
4697,what company produces penn & teller's smoke and mirrors,"[""Penn & Teller's Smoke and Mirrors""]","['company', 'penn & teller', 'smoke and mirrors']"
4698,Which country did the film mutharamkunnu p.o. come from,['Mutharamkunnu P.O.'],['film mutharamkunnu p.o.']
4699,which country created mercury ,['Mercury'],"['country', 'mercury']"
4700,What is the name of a documentary film,['documentary film'],['documentary film']
4701,what country is  ashgabat from,['Ashgabat'],['country']
4702,what country gives nationality to gennadi styopushkin,['Gennadi Styopushkin'],['gennadi styopushkin']
4703,Which genre of music does goldie record?,['Goldie'],"['music', 'goldie record']"
4704,who is a delta blues artist,['Delta blues'],['delta blues artist']
4705,what is production company of the film barfly?,['Barfly'],['film barfly']
4706,"Who was born in kansas city, missouri?",['Kansas City'],"['missouri', 'kansas city']"
4707,what film series is cremaster 1 apart of,['Cremaster 1'],['cremaster 1']
4708,Where was matthew locke born?,['Matthew Locke'],['matthew locke']
4709,What film did vidhu vinod chopra produce?,['Vidhu Vinod Chopra'],['vidhu vinod chopra']
4710,Name a famous photographer,['photographer'],['famous photographer']
4711,what language is spoken in high school stories,['High School Stories'],"['language', 'high school stories']"
4712,which album has the artist boyd rice in it?,['Boyd Rice'],['boyd rice']
4713,where was lise lindbæk born,['Lise Lindbæk'],['lise lindbæk']
4714,Who was an astronaut on sts-111,['STS-111'],['sts-111']
4715,what country is lourdes benedicto from,['Lourdes Benedicto'],['lourdes benedicto']
4716,What country is meleş river in?,['Meleș River'],['meleş river']
4717,Where did karel frederik wenckebach pass away?,['Karel Frederik Wenckebach'],['karel frederik wenckebach']
4718,who discovered 11836 eileen,['11836 Eileen'],['11836 eileen']
4719,What is ernest jay's nationality?,['Ernest Jay'],['ernest jay']
4720,what city did pyotr durnovo die in?,['Pyotr Durnovo'],['pyotr durnovo']
4721,who is bedlam directed by,['Bedlam'],['bedlam']
4722,Who is a musician signed to columbia records?,['Columbia Records'],['columbia records']
4723,what is spoken in a night in tuscany,['A Night in Tuscany'],['tuscany']
4724,What profession does malcolm stuart boylan hold?,['Malcolm Stuart Boylan'],['malcolm stuart boylan']
4725,what is the sex of victor zotov,['Victor Zotov'],['victor zotov']
4726,what tv program is documentary film,['documentary film'],"['tv program', 'documentary film']"
4727,"Who is a parent of charles v, holy roman emperor","['Charles V, Holy Roman Emperor']","['holy roman emperor', 'charles v']"
4728,Who was born in sombor?,['Sombor'],['sombor']
4729,"bago, negros occidental is an administrative division in which country?",['Bago'],['negros occidental']
4730,What bridge goes over the industrial canal,['Industrial Canal'],"['bridge', 'industrial canal']"
4731,what is tariq ibn ziyad's profession ,['Tariq ibn Ziyad'],['tariq ibn ziyad']
4732,what is the position of football player zvjezdan cvetković,['Zvjezdan Cvetković'],['zvjezdan cvetković']
4733,Who is the artist of the album easy does it?,['Easy Does It'],['album']
4734,Which county is tribes hill located in,['Tribes Hill'],"['county', 'tribes hill']"
4735,Where was (8495) 1990 qv1 discovered,['(8495) 1990 QV1'],"['8495', '1990 qv1']"
4736,Where was son of frankenstein filmed?,['Son of Frankenstein'],['son of frankenstein']
4737,"What genre does the film, o.k., fall under?",['O.k.'],"['genre', 'film']"
4738,what type of film is david magee,['David Magee'],['david magee']
4739,What gender is santiago fusilier?,['Santiago Fusilier'],['santiago fusilier']
4740,which was chairul tanjung born,['Chairul Tanjung'],['chairul tanjung']
4741,what kind of movie is the backyard,['The Backyard'],"['movie', 'backyard']"
4742,which country does adalita srsen represent,['Adalita Srsen'],['adalita srsen']
4743,who is the author of the book george washington?,['George Washington'],['book george washington']
4744,where was 7343 ockeghem discovered ,['7343 Ockeghem'],['7343 ockeghem']
4745,what types of book is the problem of the covered bridge,['The Problem of the Covered Bridge'],"['book', 'covered bridge']"
4746,what game is sony online entertainment make?,['Daybreak Game Company'],['sony online entertainment']
4747,what is 3891 werner ,['3891 Werner'],['3891']
4748,Name one film in which robert wise is the director of,['Robert Wise'],['robert wise']
4749,Name someone who plays as a defender,['defender'],"['someone', 'defender']"
4750,What is the nationality of peter butt?,['Peter Butt'],['peter butt']
4751,which country did alfredo kraus die in,['Alfredo Kraus'],['alfredo kraus']
4752,which country is thaddeus hyatt from ,['Thaddeus Hyatt'],['thaddeus hyatt']
4753,who was born in greenwich,['Greenwich'],['greenwich']
4754,which hawaiian city is brian gaskill's place of birth?,['Brian Gaskill'],['brian gaskill']
4755,What band wrote the album the amalgamut?,['The Amalgamut'],"['band', 'album', 'amalgamut']"
4756,where in california did  leo g. carroll die,['Leo G. Carroll'],"['leo g. carroll', 'california']"
4757,What country is don's plum from,"[""Don's Plum""]","['country', 'don']"
4758,which album is of the soul music genre,['soul music'],"['album', 'soul music genre']"
4759,What is a work written by author agatha christie?,['Agatha Christie'],['author agatha christie']
4760,who has interment in mount hope cemetery,['Mount Hope Cemetery'],['mount hope cemetery']
4761,what country is lassie from,['Lassie'],['country']
4762,what is a drama film released in 1974?,['drama film'],"['drama film', '1974']"
4763,what kind of genre is shadows of desire,['Shadows of Desire'],"['genre', 'desire']"
4764,what genre is the game  shaman king: soul fight,['Shaman King: Soul Fight'],['game shaman king']
4765,what label are the butthole surfers signed to,['Butthole Surfers'],"['label', 'butthole surfers']"
4766,What kind of bridge is the john p. grace memorial bridge,['John P. Grace Memorial Bridge'],['john p. grace memorial bridge']
4767,What position does václav němeček play?,['Václav Němeček'],['václav němeček']
4768,Name a city in allegheny county,['Allegheny County'],['allegheny county']
4769,which city was john gilbert born in,['John Gilbert'],['john gilbert']
4770,who was born in bisbee,['Bisbee'],['bisbee']
4771,what military personnel was involved in  world war ii,['World War II'],"['military personnel', 'world war ii']"
4772,Name a person who was born in poltava,['Poltava'],['poltava']
4773,What type of film is cold sweat considered,['Cold Sweat'],"['film', 'cold sweat']"
4774,what type of disaster was the san juanico disaster?,['Zutty Singleton'],['san juanico disaster']
4775,where was alfred müller born,['Alfred Müller'],['alfred müller']
4776,what is the house in new york that showcases queen anne style architecture,['Queen Anne style architecture'],"['queen anne style architecture', 'new york']"
4777,what films have james newton howard participated in?,['James Newton Howard'],['james newton howard']
4778,What nationality is rené cogny,['René Cogny'],['rené cogny']
4779,"What is the ethnicity of jerry hairston, jr.?",['Jerry Hairston Jr.'],['jerry hairston']
4780,is george puttenham male or female,['George Puttenham'],['george puttenham male or female']
4781,what movie titles belong to the netflix genre horror,['horror film'],"['movie titles', 'netflix genre horror']"
4782,Where was harry revel born?,['Harry Revel'],['harry revel']
4783,what is football position of jamal reynolds ,['Jamal Reynolds'],['jamal reynolds']
4784,What is a film that was executively produced by kevin bacon,['Kevin Bacon'],['kevin bacon']
4785,what is the profession of david heavener?,['David Heavener'],['david heavener']
4786,what is a previous work in the series anne of the island,['Anne of the Island'],['anne of the island']
4787,Who is a notable person from davenport,['Davenport'],['davenport']
4788,whats the name of a rock music artist,['rock music'],['rock music artist']
4789,What nationality is Kenneth Utt?,['Kenneth Utt'],['Kenneth Utt']
4790,what position does john munyan play in baseball?,['John Munyan'],['john munyan']
4791,Who developed the game final fight,['Final Fight'],['game final fight']
4792,what county is duncan in,['Duncan'],['duncan']
4793,Name an experimental rock album.,['experimental rock'],['experimental rock album']
4794,which italian city did majorian die in,['Majorian'],['italian city']
4795,Who edited the film prince of persia: the sands of time?,['Prince of Persia: The Sands of Time'],['prince of persia : the sands of time']
4796,name a pitcher,['pitcher'],['pitcher']
4797,is highlights from the plugged nickel jazz or pop rock,['Highlights from the Plugged Nickel'],['nickel jazz or pop rock']
4798,What position does jean-joël perrier-doumbé play?,['Jean-Joël Perrier-Doumbé'],['jean-joël perrier-doumbé']
4799,what is roy sinclair's possition,['Roy Sinclair'],['roy sinclair']
4800,What is a film that russell harlan did the cinematography for,['Russell Harlan'],['russell harlan']
4801,what is the language spoken in the ex?,['The Ex'],"['language', 'ex']"
4802,what city is billy hall from,['Billy Hall'],['city']
4803,Where is mimei ogawa from?,['Mimei Ogawa'],['mimei ogawa']
4804,whats the name of a baseball player who plays as a  right fielder,['right fielder'],"['baseball player', 'right fielder']"
4805,what is a language featured in the longest night in shanghai ,['The Longest Night in Shanghai'],['shanghai']
4806,what is the cover album by Japanese pop singer Ken Hirai,['Ken Hirai'],"['Ken Hirai', 'Japanese']"
4807,What gender is timmy williams,['Timmy Williams'],['timmy williams']
4808,Who is a person born in manhattan,['Manhattan'],['manhattan']
4809,What j-pop album was released by Ken Hirai?,['J-pop'],['Ken Hirai']
4810,which asian language is aakrosh spoken in?,['Aakrosh'],['asian language']
4811,in what time zone is pusztaederics located,['Pusztaederics'],['pusztaederics']
4812,Who directed thief,['Thief'],['thief']
4813,What is the title of an album by artist stroke 9?,['Stroke 9'],['artist stroke 9']
4814,"Name a city within freeborn county, minnesota",['Freeborn County'],['minnesota']
4815,what games have been published by microsoft studios?,['Xbox Game Studios'],['microsoft studios']
4816,what do the actors in a new day in old sanaa speak,"[""A New Day in Old Sana'a""]",['old sanaa']
4817,who is the indie rock guitarist for Idlewild?,['indie rock'],['Idlewild']
4818,what movie is drama in netflix,['drama film'],"['movie', 'netflix']"
4819,where did john wycliffe die?,['John Wycliffe'],['john wycliffe']
4820,which author was born in bridgewater township?,['Bridgewater Township'],['bridgewater township']
4821,which language was used in painful maturity,['Painful Maturity'],"['language', 'painful maturity']"
4822,what film did edward burns produce,['Edward Burns'],['edward burns']
4823,who wrote come on danger!,['Come on Danger!'],['danger']
4824,Which gender is emil bessels,['Emil Bessels'],['emil bessels']
4825,what's the first episode of the fifth season of deja vu (the outer limits),['Deja Vu'],['outer limits']
4826,which country is laguna de bay in,['Laguna de Bay'],['laguna de bay']
4827,what is eulalie spence's profession,['Eulalie Spence'],['eulalie spence']
4828,where did nikolai efimov die,['Nikolai Efimov'],['nikolai efimov']
4829,which basketball position does hilton armstrong play,['Hilton Armstrong'],['hilton armstrong play']
4830,Where did hillevi rombin die,['Hillevi Rombin'],['hillevi rombin']
4831,Which county was mike ingham born?,['Mike Ingham'],['mike ingham']
4832,What is israel horovitz's profession,['Israel Horovitz'],['israel horovitz']
4833,What country is the idiot box from,['The Idiot Box'],['country']
4834,Where was Chris Young born?,['Chris Young'],['Chris Young']
4835,who is a famous football striker born in durham,['Durham'],['durham']
4836,What is the gender of Art Donovan?,['Art Donovan'],['Art Donovan']
4837,what is an instrument played by carl jackson ,['Carl Jackson'],['carl jackson']
4838,What country was chris spielman born in?,['Chris Spielman'],['chris spielman']
4839,What country is the movie dil chahta hai from,['Dil Chahta Hai'],"['country', 'movie']"
4840,where was dejuan tribble born,['DeJuan Tribble'],['dejuan tribble']
4841,Who is a soccer goalkeeper? ,['goalkeeper'],['soccer goalkeeper']
4842,whats the name of  richard wagners child,['Richard Wagner'],['richard wagners child']
4843,who wrote the film gia,['Gia'],['film gia']
4844,Who was a writer for the episode the forgotten,['The Forgotten'],['episode']
4845,what is pavel argeyev's gender,['Pavel Argeyev'],['pavel argeyev']
4846,what kind of music is on bo diddley?,['Bo Diddley'],"['music', 'bo diddley']"
4847,What country is robert s. corrington from,['Robert S. Corrington'],['robert s. corrington']
4848,how did petar miloševski die?,['Petar Miloševski'],['petar miloševski']
4849,what is anton strashimirov's country of nationality?,['Anton Strashimirov'],['anton strashimirov']
4850,who is blake griffin,['Blake Griffin'],['blake griffin']
4851,what instrument does ashwin sood play?,['Ashwin Sood'],['ashwin sood']
4852,olza is a tributary of what river?,['Olza'],['olza']
4853,what football position does dorin dickerson play at?,['Dorin Dickerson'],['dorin dickerson']
4854,where was lee bollinger born,['Lee Bollinger'],['lee bollinger']
4855,idris phillips follows this major religion. ,['Idris Phillips'],['idris phillips']
4856,Where was lilia moritz schwarcz born,['Lilia Schwarcz'],['lilia moritz schwarcz']
4857,What language is spoken in prince vladimir (film),['Prince Vladimir'],"['language', 'prince vladimir', 'film']"
4858,what language  is in the film  clint the stranger,['Clint the Stranger'],"['language', 'film', 'stranger']"
4859,Who wrote the lyrics for government hooker?,['Government Hooker'],['government hooker']
4860,What kind of music is rockin into the night,"[""Rockin' into the Night""]","['music', 'night']"
4861,What gender is melvin jenkins,['Melvin Jenkins'],['melvin jenkins']
4862,which country is purple people eater filmed in?,['Purple People Eater'],"['country', 'purple people eater']"
4863,what artist created sarabande,['Sarabande'],"['artist', 'sarabande']"
4864,Where was john knowles herr burried,['John Knowles Herr'],['john knowles herr']
4865,duck rock was an album that was labeled into this genre of music.,['Duck Rock'],['duck rock']
4866,where was wash westmoreland born?,['Wash Westmoreland'],['wash westmoreland']
4867,Is ranavalona iii a man or a woman,['Ranavalona III'],['ranavalona iii']
4868,what position does júnior morales play,['Junior Morales'],"['position', 'junior morales']"
4869,what is kari rajamäki's country of nationality,['Kari Rajamäki'],['kari rajamäki']
4870,what genre is family ties?,['Family Ties'],"['genre', 'family ties']"
4871,where in california did  jimmie adams die,['Jimmie Adams'],"['jimmie adams', 'california']"
4872,What is joe carey's gender,['Joe Carey'],['joe carey']
4873,What country filmed redemption maddie,['Redemption Maddie'],['redemption maddie']
4874,what is kelly knox's gender,['Kelly Knox'],['kelly knox']
4875,What country is the mind of the married man from,['The Mind of the Married Man'],['country']
4876,What city die mark m. fagan pass away in?,['Mark Matthew Fagan'],['m. fagan']
4877,what is the gender of james l. conway ,['James L. Conway'],['james l. conway']
4878,what constellation is hd 102117 a part of?,['HD 102117'],"['constellation', '102117']"
4879,in what language is the film archangel,['Archangel'],"['language', 'film archangel']"
4880,What kind of gameplay does bomberman jetters have,['Bomberman Jetters'],"['gameplay', 'bomberman jetters']"
4881,What genre of music does the artist collin raye produce?,['Collin Raye'],['artist collin raye']
4882,Name a male.,['Dwight Macdonald'],['male']
4883,what type of movie is freeze frame,['Freeze Frame'],"['movie', 'freeze frame']"
4884,Where did normie roy die in new hampshire,['Normie Roy'],"['new hampshire', 'normie roy']"
4885,whats the title of bz20's album,['BZ20'],['bz20']
4886,what is the position that lynn myers played?,['Lynn Myers'],['lynn myers']
4887,what's the name of a midfielder footballer,['midfielder'],['midfielder footballer']
4888,what position does david sinclair play in soccer?,['David Sinclair'],['david sinclair']
4889,What war did leo bennett take part in,['Leo Bennett'],['leo bennett']
4890,what philosopher was born in new york city,['New York City'],['new york city']
4891,Name a baseball player. ,['baseball player'],['baseball player']
4892,what language was every night at eight made in,['Every Night at Eight'],"['language', 'eight']"
4893,which music was used in mr. belvedere goes to college,['Mr. Belvedere Goes to College'],['mr. belvedere']
4894,who is the child of morphia of melitene,['Morphia of Melitene'],['morphia of melitene']
4895,Who directed the invisible mouse,['The Invisible Mouse'],['invisible mouse']
4896,what is madri's sex?,['Madri'],['madri']
4897,which instrumentalist plays the guitar,['guitar'],"['instrumentalist', 'guitar']"
4898,what is carmine coppola's nationality?,['Carmine Coppola'],['carmine coppola']
4899,where was lyn collingwood born?,['Lyn Collingwood'],['lyn collingwood']
4900,What filmmaker was born in rio de janeiro?,['Rio de Janeiro'],['rio de janeiro']
4901,albert l. becker is a military personal that participated in what world war?,['Albert L. Becker'],['albert l. becker']
4902,where did frederick louis of württemberg-winnental die,['Frederick Louis of Württemberg-Winnental'],"['frederick louis', 'württemberg-winnental']"
4903,what author penned the book dumbing us down,['Dumbing Us Down'],"['author', 'book']"
4904,which artist recorded banadeek taala?,['Bnadik Taala'],['banadeek taala']
4905,An example of a alternative metal artist would be who?,['alternative metal'],['alternative metal artist']
4906,who was involved in battle of old baldy,['Battle of Old Baldy'],['old baldy']
4907,Name a rock album by David Bowie,['rock music'],['David Bowie']
4908,What nation is timlanders from?,['Tim Landers'],['timlanders']
4909,what is the nationality of guri schanke?,['Guri Schanke'],['guri schanke']
4910,which soccer position is played by oh seung-bum,['Oh Seung-bum'],['oh seung-bum']
4911,who did cinematography for jersey girl,['Jersey Girl'],['jersey girl']
4912,Who wrote the turkish passion?,['The Turkish Passion'],['turkish passion']
4913,what science fiction fantasy comedy film was created by dan aykroyd,['Dan Aykroyd'],['dan aykroyd']
4914,What language is the film saigon electric in?,['Saigon Electric'],['saigon electric']
4915,What is the gender of darren jarman?,['Darren Jarman'],['darren jarman']
4916,Where is the movie el greco from,['El Greco'],['el greco']
4917,what is joie ray's nationality?,['Joie Ray'],['joie ray']
4918,what films did jeannot szwarc direct,['Jeannot Szwarc'],['jeannot szwarc']
4919,Which language is the killing featured in,['The Killing'],"['language', 'killing']"
4920,what is an example of a fantasy book,['fantasy'],['fantasy book']
4921,who is guru gobind singh's child?,['Guru Gobind Singh'],['guru gobind singh']
4922,"who wrote \\""master harold\\""...and the boys?","['""Master Harold""...and the Boys']",['master harold']
4923,what city did david hawthorne die in,['David Hawthorne'],['david hawthorne']
4924,where was bjarne corydon born?,['Bjarne Corydon'],['bjarne corydon']
4925,which war did darius n. couch play a role in,['Darius N. Couch'],['darius n. couch']
4926,What language is in the film jessica?,['Jessica'],"['language', 'film jessica']"
4927,Who is a parent of rosemary kennedy,['Rosemary Kennedy'],['rosemary kennedy']
4928,Who is a female artist signed to bna records?,['BNA Records'],['bna records']
4929,what did john w. minick participate in?,['John W. Minick'],['john w. minick']
4930,what world war did hans fronius fight in,['Hans Fronius'],['hans fronius']
4931,which production company filmed magician mickey,['Magician Mickey'],['magician mickey']
4932,What kind of metal is played on excalibur,['Excalibur'],"['metal', 'excalibur']"
4933,What film was karl freund a cinematographer for?,['Karl Freund'],['karl freund']
4934,what offensive position does dominic samuel play,['Dominic Samuel'],['dominic samuel']
4935,Who was the director for the film middle of nowhere?,['Middle of Nowhere'],['middle of nowhere']
4936,what architectural style is used in ely cathedral,['Ely Cathedral'],"['architectural style', 'ely cathedral']"
4937,What kind of video game is scaler,['Scaler'],"['video game', 'scaler']"
4938,What kind of music is featured on dream with dean,['Dream with Dean'],"['music', 'dean']"
4939,which state did oscar dunn die,['Oscar Dunn'],['oscar dunn']
4940,who wrote aliens ate my homework,['Aliens Ate My Homework'],"['aliens', 'homework']"
4941,Is sergio llull a man or woman?,['Sergio Llull'],['sergio llull']
4942,What genre of book is american beauty,['American Beauty'],"['book', 'american beauty']"
4943,Who was born in tokyo?,['Tokyo'],['tokyo']
4944,what is a memoir book?,['memoir'],['memoir book']
4945,Which position in baseball does jeff rineer play,['Jeff Rineer'],['jeff rineer']
4946,what label signed zendee rose tenerefe,['Zendee Rose Tenerefe'],['zendee rose tenerefe']
4947,Which ethnicity is mariah carey?,['Mariah Carey'],['mariah carey']
4948,who is the director for go west?,['Go West'],['west']
4949,which country held battle of the samichon river,['Battle of the Samichon River'],"['country', 'samichon river']"
4950,Name someone born in belfast,['Belfast'],['belfast']
4951,in what country was these wilder years filmed,['These Wilder Years'],"['country', 'years']"
4952,which country does the valea glonțului river flow into,['Valea Glonțului River'],['valea glonțului']
4953,what company produced beyond outrage,['Beyond Outrage'],"['company', 'outrage']"
4954,What rock music was released in the 1990's?,['rock music'],"['rock music', '1990']"
4955,Where is the extraterrestrial prandtl located,['Prandtl'],['extraterrestrial prandtl']
4956,what was priscilla ahn's first album,['Priscilla Ahn'],['priscilla ahn']
4957,which county is lititz in,['Lititz'],['county']
4958,Which artist is signed to def jam recordings?,['Def Jam Recordings'],"['artist', 'jam recordings']"
4959,what type of game is toheart,['To Heart'],"['game', 'toheart']"
4960,What's a film directed by fred kelsey,['Fred Kelsey'],['fred kelsey']
4961,where was małgorzata foremniak born?,['Małgorzata Foremniak'],['małgorzata foremniak']
4962,what is the name of a person who was born in silesia,['Silesia'],['silesia']
4963,Who released the album jerusalem,['Jerusalem and Dopesmoker'],['album jerusalem']
4964,what movie genre is force of arms,['Force of Arms'],"['movie genre', 'arms']"
4965,what gender best categorizes george o'boyle,"[""George O'Boyle""]","[""george o'boyle""]"
4966,Which country was ondřej soukup born in,['Ondřej Soukup'],['ondřej soukup']
4967,What is hob gadling's sex,['Hob Gadling'],['hob gadling']
4968,What label signed the band the zombies,['The Zombies'],"['label', 'band', 'zombies']"
4969,whats the name of a basketball team,['basketball'],['basketball team']
4970,which nation was moses malone born into,['Moses Malone'],['moses malone']
4971,what book genre is neverness?,['Neverness'],"['book genre', 'neverness']"
4972,Who created mandalay pictures?,['Mandalay Pictures'],['mandalay pictures']
4973,which city did les keiter pass away,['Les Keiter'],['city']
4974,"What time zone is alife, campania a part of?","['Alife, Campania']","['time zone', 'alife campania']"
4975,What company published the game aleste 2,['Aleste 2'],['game aleste 2']
4976,What star can be found in sculptor (constellation)?,['Sculptor'],"['star', 'sculptor', 'constellation']"
4977,dennis hale recorded under what music label,['Dennis Hale'],['dennis hale']
4978,which football position does daniel ivanovski play,['Daniel Ivanovski'],['daniel ivanovski']
4979,Where was sydney park born?,['Sydney Park'],['sydney park']
4980,who is the male director of the film brown sugar?,['Brown Sugar'],['film brown sugar']
4981,what is jerry e. hinshaw's gender ,['Jerry E. Hinshaw'],['jerry e. hinshaw']
4982,which football player was born in south korea?,['South Korea'],['south korea']
4983,what instrument does fred tackett play,['Fred Tackett'],['fred tackett']
4984,What is the show game of thrones adapted from,['Game of Thrones'],['thrones']
4985,Who directed the film to live and die in mongkok,['To Live and Die in Mongkok'],['mongkok']
4986,what is the genre of the album the lover in me?,['The Lover in Me'],['album']
