,question,responses,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Wiki_Rank,Wiki_Top1,Wiki_Top2,Wiki_Top3,DBpedia_Rank,DBpedia_Top1,DBpedia_Top2,DBpedia_Top3
10,what position does josé francisco torres play?,['Midfielder'],"['midfielder', 'Midfielder']",['midfielder'],"['midfielder', 'Midfielder']","['midfielder', 'Midfielder', 'association football']",['midfielder'],['midfielder'],"['midfielder', 'association football']","['midfielder', 'association football', '18']",['Midfielder'],['Midfielder'],"['Midfielder', 'men']","['Midfielder', 'men']"
11,what male actor was born in  warsaw,['Andrzej Zahorski'],"['Samuel Goldwyn', 'Andy Hopper', 'Yehuda Lerner', 'Bruno Lechowski', 'Simon Pullman', 'Paul Kaznelson', 'Ingrid Pitt', 'David Seymour', 'Adam Prazmowski']",['Samuel Goldwyn'],"['Samuel Goldwyn', 'Andy Hopper']","['Samuel Goldwyn', 'Andy Hopper', 'Yehuda Lerner']","['Samuel Goldwyn', 'Andy Hopper', 'Yehuda Lerner', 'Bruno Lechowski', 'Simon Pullman', 'Paul Kaznelson', 'Ingrid Pitt', 'David Seymour', 'Adam Prazmowski']",['Samuel Goldwyn'],"['Samuel Goldwyn', 'Andy Hopper']","['Samuel Goldwyn', 'Andy Hopper', 'Yehuda Lerner']",['Samuel Goldwyn'],['Samuel Goldwyn'],"['Samuel Goldwyn', 'Małolat']","['Samuel Goldwyn', 'Małolat', 'Dorota Wellman']"
12,who was also born in jakarta,['Antonius Colenbrander'],"['Mohammad Idris', 'Moreno Soeprapto', 'Muhamad Chatib Basri', 'Muhammad Rizieq Shihab', 'Muhammad Taufik', 'Wanda Hamidah', 'Wietse Venema', 'Emil Dardak', 'Endang Rahayu Sedyaningsih', 'Eni Maulani Saragih', 'Erwin Gutawa', 'Mulfachri Harahap', 'Alanda Kariza', 'Alex Abbad', 'Alex Asmasoebrata', 'Alexander Rendell', 'Alfonsius Kelvan', 'Atiqah Hasiholan', 'Azis Syamsuddin', 'Bachtiar Nasir', 'Djenar Maesa Ayu', 'Donny Alamsyah', 'Dude Harlino', 'Prince Notonegoro', 'Qory Sandioriva', 'Saefullah', 'Sandhy Sondoro', 'Eko Putro Sandjojo', 'Tiza Mafira', 'Abdul Aziz', 'Aburizal Bakrie', 'Ade Rai', 'Adinia Wirasti', 'Adjie Massaid', 'Adnan Buyung Nasution', 'Agus Kuncoro', 'Deddy Mizwar', 'Dede Yusuf', 'Dewi Rezer', 'Dicky Zulkarnaen', 'Edy Mulyadi', 'Hans Haasmann', 'Haris Jauhari', 'Hella Haasse', 'Helsi Herlinda', 'Henri Alexander Elias', 'Leane Suniar', 'Lena Maryana', 'Li-Young Lee', 'Lin Bing-chao', 'Lin Huiqing', 'Suharna Surapranata', 'Sukma Ayu', 'Surya Saputra', 'Susanty Manuhutu', 'Sutan Harhara', 'Svida Alisjahbana', 'Sylviana Murni', 'Lukman Hakim Saifuddin', 'Bondan Prakoso', 'Herwin Novianto', 'Lukman Sardi', 'Nadia Bulkin', 'Nadia Saphira', 'Nagita Slavina', 'Naysila Mirdad', 'Pevita Pearce', 'Piet Salomons', 'Pinkan Mambo', 'Rachmat Afandi', 'Rafid Topan Sucipto', 'Raline Shah', 'Rano Karno', 'Ratu Felisha', 'Renaldo Samsara', 'Yusuf Mansur', 'Zaskia Adya Mecca', 'Zaskia Sungkar', 'Antonius Colenbrander', 'Anya Geraldine', 'Arifin Tasrif', 'Armida Alisjahbana', 'Fitria Yusuf', 'Nia Ramadhani', 'Nia Zulkarnaen', 'Nikita Mirzani', 'Nila Moeloek', 'Nila Tanzil', 'Umay Shahab', 'Upi Darmayana Tamin', 'Ustadz Solmed', 'Utut Adianto', 'Vera Mulyani', 'Irna Narulita', 'Budi Anduk', 'Bunga Citra Lestari', 'Butet Manurung', 'Cas Alfonso', 'Christian Sugiono', 'Conchita Caroline', 'Cut Memey', 'Cynthia Delaney Suwito', 'Daniel Mananta', 'Darian Sahanaja', 'Jenny Tan', 'Jonas Rivanno', 'Kimo Stamboel', 'Kirana Larasati', 'La Nyalla Mattalitti', 'Ladya Cheryl', 'Laksamana Sukardi', 'Teuku Wisnu', 'Windu Hanggono Putra', 'Diyan Achjadi', 'Roderick Douglas Macdonald', 'Rosy Pereira', 'Rudi Setiawan', 'Rudy Kurniawan', 'Rusli Hamsjin', 'Alya Rohali', 'Ana Turk', 'Ananda Sukarlan', 'Andakara Prastawa', 'Andi Soraya', 'Andre Taulany', 'Belinda Pritasari', 'Biem Benyamin', 'Billy Simpson', 'Billy Syahputra', 'Chairul Tanjung', 'Charles Bonar Sirait', 'Charles Honoris', 'Frans Mohede', 'Frits Eijken', 'Julie Estelle', 'Titi DJ', 'Titi Kamal', 'Tomy Winata', 'Tora Sudiro', 'Baim Wong', 'Bambang Soesatyo', 'Bambang Sutrisno', 'Jan Glastra van Loon', 'Shandy Aulia', 'Shenina Cinnamon', 'Shireen Sungkar', 'Sigi Wimala', 'Thee Kian Wie', 'Thomas Lembong', 'Fachri Albar', 'Fadli Zon', 'Fajar Legian Siswanto', 'Febian Nurrahman Saktinegara', 'Mari Elka Pangestu', 'Marina Joesoef', 'Marius Klumperbeek', 'Marsetio', 'Martin Manurung', 'Masayu Anastasia', 'Lius Pongoh', 'Mahendra Siregar', 'Novita Dewi', 'Nurfitriyana Saiman', 'Octavia Yati', 'Okky Lukman', 'Olga Syahputra', 'Omaswati', 'Revalina S. Temat', 'Ria Irawan', 'Rinrin Marinka', 'Rio Dewanto', 'Riyandi Ramadhana', 'Rob Slotemaker', 'Siti Hartati Murdaya', 'Siti Nurbaya Bakar', 'Soe Hok Gie', 'Victoria Audrey Sarasvathi', 'Vivek Lall', 'Wafda Saifan', 'Afrizal Malna', 'Aryo Danusiri', 'Gibran Marten', 'Gilbert Lumoindong', 'Giring Ganesha', 'Gita Wirjawan', 'Gloria Jessica', 'Gustaaf van Hulstijn', 'Iko Uwais', 'Imelda Therinne', 'Indra Birowo', 'Indradi Thanos', 'Intan Erlita', 'Nasya Marcella', 'Karina Nadila', 'Kartika Affandi', 'Kerenina Sunny Halim', 'Kevin Julio', 'Melanie Putria Dewita Sari', 'Metta Permadi']",['Mohammad Idris'],"['Mohammad Idris', 'Moreno Soeprapto']","['Mohammad Idris', 'Moreno Soeprapto', 'Muhamad Chatib Basri']",['Gusti Kanjeng Ratu Hemas'],['Gusti Kanjeng Ratu Hemas'],"['Gusti Kanjeng Ratu Hemas', ""Abdullah Syafi'i""]","['Gusti Kanjeng Ratu Hemas', ""Abdullah Syafi'i"", 'Rumah Sakit Fatmawati']","['Mohammad Idris', 'Moreno Soeprapto', 'Muhamad Chatib Basri', 'Muhammad Rizieq Shihab', 'Muhammad Taufik', 'Wanda Hamidah', 'Wietse Venema', 'Emil Dardak', 'Endang Rahayu Sedyaningsih', 'Eni Maulani Saragih', 'Erwin Gutawa', 'Mulfachri Harahap', 'Alanda Kariza', 'Alex Abbad', 'Alex Asmasoebrata', 'Alexander Rendell', 'Alfonsius Kelvan', 'Atiqah Hasiholan', 'Azis Syamsuddin', 'Bachtiar Nasir', 'Djenar Maesa Ayu', 'Donny Alamsyah', 'Dude Harlino', 'Prince Notonegoro', 'Qory Sandioriva', 'Saefullah', 'Sandhy Sondoro', 'Eko Putro Sandjojo', 'Tiza Mafira', 'Abdul Aziz', 'Aburizal Bakrie', 'Ade Rai', 'Adinia Wirasti', 'Adjie Massaid', 'Adnan Buyung Nasution', 'Agus Kuncoro', 'Deddy Mizwar', 'Dede Yusuf', 'Dewi Rezer', 'Dicky Zulkarnaen', 'Edy Mulyadi', 'Hans Haasmann', 'Haris Jauhari', 'Hella Haasse', 'Helsi Herlinda', 'Henri Alexander Elias', 'Leane Suniar', 'Lena Maryana', 'Li-Young Lee', 'Lin Bing-chao', 'Lin Huiqing', 'Suharna Surapranata', 'Sukma Ayu', 'Surya Saputra', 'Susanty Manuhutu', 'Sutan Harhara', 'Svida Alisjahbana', 'Sylviana Murni', 'Lukman Hakim Saifuddin', 'Bondan Prakoso', 'Herwin Novianto', 'Lukman Sardi', 'Nadia Bulkin', 'Nadia Saphira', 'Nagita Slavina', 'Naysila Mirdad', 'Pevita Pearce', 'Piet Salomons', 'Pinkan Mambo', 'Rachmat Afandi', 'Rafid Topan Sucipto', 'Raline Shah', 'Rano Karno', 'Ratu Felisha', 'Renaldo Samsara', 'Yusuf Mansur', 'Zaskia Adya Mecca', 'Zaskia Sungkar', 'Antonius Colenbrander', 'Anya Geraldine', 'Arifin Tasrif', 'Armida Alisjahbana', 'Fitria Yusuf', 'Nia Ramadhani', 'Nia Zulkarnaen', 'Nikita Mirzani', 'Nila Moeloek', 'Nila Tanzil', 'Umay Shahab', 'Upi Darmayana Tamin', 'Ustadz Solmed', 'Utut Adianto', 'Vera Mulyani', 'Irna Narulita', 'Budi Anduk', 'Bunga Citra Lestari', 'Butet Manurung', 'Cas Alfonso', 'Christian Sugiono', 'Conchita Caroline', 'Cut Memey', 'Cynthia Delaney Suwito', 'Daniel Mananta', 'Darian Sahanaja', 'Jenny Tan', 'Jonas Rivanno', 'Kimo Stamboel', 'Kirana Larasati', 'La Nyalla Mattalitti', 'Ladya Cheryl', 'Laksamana Sukardi', 'Teuku Wisnu', 'Windu Hanggono Putra', 'Diyan Achjadi', 'Roderick Douglas Macdonald', 'Rosy Pereira', 'Rudi Setiawan', 'Rudy Kurniawan', 'Rusli Hamsjin', 'Alya Rohali', 'Ana Turk', 'Ananda Sukarlan', 'Andakara Prastawa', 'Andi Soraya', 'Andre Taulany', 'Belinda Pritasari', 'Biem Benyamin', 'Billy Simpson', 'Billy Syahputra', 'Chairul Tanjung', 'Charles Bonar Sirait', 'Charles Honoris', 'Frans Mohede', 'Frits Eijken', 'Julie Estelle', 'Titi DJ', 'Titi Kamal', 'Tomy Winata', 'Tora Sudiro', 'Baim Wong', 'Bambang Soesatyo', 'Bambang Sutrisno', 'Jan Glastra van Loon', 'Shandy Aulia', 'Shenina Cinnamon', 'Shireen Sungkar', 'Sigi Wimala', 'Thee Kian Wie', 'Thomas Lembong', 'Fachri Albar', 'Fadli Zon', 'Fajar Legian Siswanto', 'Febian Nurrahman Saktinegara', 'Mari Elka Pangestu', 'Marina Joesoef', 'Marius Klumperbeek', 'Marsetio', 'Martin Manurung', 'Masayu Anastasia', 'Lius Pongoh', 'Mahendra Siregar', 'Novita Dewi', 'Nurfitriyana Saiman', 'Octavia Yati', 'Okky Lukman', 'Olga Syahputra', 'Omaswati', 'Revalina S. Temat', 'Ria Irawan', 'Rinrin Marinka', 'Rio Dewanto', 'Riyandi Ramadhana', 'Rob Slotemaker', 'Siti Hartati Murdaya', 'Siti Nurbaya Bakar', 'Soe Hok Gie', 'Victoria Audrey Sarasvathi', 'Vivek Lall', 'Wafda Saifan', 'Afrizal Malna', 'Aryo Danusiri', 'Gibran Marten', 'Gilbert Lumoindong', 'Giring Ganesha', 'Gita Wirjawan', 'Gloria Jessica', 'Gustaaf van Hulstijn', 'Iko Uwais', 'Imelda Therinne', 'Indra Birowo', 'Indradi Thanos', 'Intan Erlita', 'Nasya Marcella', 'Karina Nadila', 'Kartika Affandi', 'Kerenina Sunny Halim', 'Kevin Julio', 'Melanie Putria Dewita Sari', 'Metta Permadi']",['Mohammad Idris'],"['Mohammad Idris', 'Moreno Soeprapto']","['Mohammad Idris', 'Moreno Soeprapto', 'Muhamad Chatib Basri']"
13,Who was born in prague,['Monika Leová'],"['Carl Ferdinand Cori', 'Eduard Clam-Gallas', 'Václav Klaus', 'Martina Navratilova', 'Emanuel Czuber', 'Rainer Maria Rilke', 'Hans Günther Adler', 'David Svoboda', 'Eduard Hanslick', 'Johann Parler', 'Leopold Hasner von Artha', 'Fritz von Wettstein', 'Ottokar Chiari', 'Jaroslav Drbohlav', 'Friedrich August Rudolph Kolenati', 'Günther Schwab', 'Alice Rühle-Gerstel', 'Alfred Grünfeld', 'Franz Anton von Kolowrat-Liebsteinsky', 'Baron Raimund von Stillfried', 'Friedrich Wilhelm Scanzoni von Lichtenfels', 'Franz Anton von Gerstner', 'Samuel Siegfried Karl von Basch', 'Maria-Elisabeth Schaeffler', 'Zdeněk Fiala', 'Václav Havel', 'Josef Ludvik Fischer', 'Luděk Pachman', 'Kilián Ignaz Dientzenhofer', 'Vladimír Franz', 'Adam Muraszko', 'Alice Herz-Sommer', 'Zecharias Frankel', 'Baruch Jeitteles', 'Oswald von Thun und Hohenstein', 'Wilhelm Teuber-Weckersdorf', 'Renate Spitzner', 'Zdenko Hans Skraup', 'Karl Aloys zu Fürstenberg', 'Baron Omar Rolf von Ehrenfels', 'Karl Egon Ebert', 'Maria Eis', 'Emmerich Teuber', 'Carl Joseph Hiernle', 'Jiří Kodet', 'Sigfried Giedion', 'Pavel Vízner', 'Joseph Alexander von Helfert', 'Leopold von Mildenstein', 'Leopold Kramer', 'Sergius Golowin', 'Jan Faktor', 'Othmar Zinke', 'Marek Kopelent', 'Dietmar Petzina', 'Pavel Dědeček', 'Ferdinand Kinsky', 'Gustav Franz Hüttig', 'Adolf Exner', 'Joseph Maria Baernreither', 'Felix Lederer', 'Herman z Pragi', 'Heinrich Porges', 'Ludwig Polzer-Hoditz', 'Alois Senefelder', 'Oldřich Vízner', 'Antonín Panenka', 'Vilém Flusser', 'Kamil Zvelebil', 'Miroslav Votava', 'Josef Jungmann', 'Otakar Lada', 'Jaromír Fausek', 'Jiří Strach', 'Tomáš Hunal', 'Tomáš Rada', 'Vladimír Bystrov', 'Pavel Vyhnal', 'Suzanne Marwille', 'Sybille Pearson', 'Václav Wasserman', 'Lothar Wallerstein', 'Jiří Menzel', 'Jiří Grossmann', 'Antonín Perner', 'David Pojkar', 'Filip Rada', 'Jiří Drtina', 'Josef Eduard Teltscher', 'Michal Dragoun', 'Michal Poletín', 'Tomáš Berger', 'Valery Knyazev', 'Jiří Kabele', 'Jiří Weiss', 'Josef Meissner', 'Marek Zvelebil', 'Wilhelm Fridolin Volkmann', 'Michal Mareš', 'Pavel Exner', 'Tomáš Vandas', 'Stanislav Gross', 'Vlastimil Tusar', 'Lea De Mae']",['Carl Ferdinand Cori'],"['Carl Ferdinand Cori', 'Eduard Clam-Gallas']","['Carl Ferdinand Cori', 'Eduard Clam-Gallas', 'Václav Klaus']","['Rainer Maria Rilke', 'Hans Günther Adler', 'David Svoboda', 'Carl Ferdinand Cori', 'Eduard Hanslick', 'Johann Parler', 'Leopold Hasner von Artha', 'Fritz von Wettstein', 'Ottokar Chiari', 'Jaroslav Drbohlav', 'Kaspar Maria von Sternberg', 'Francis Lederer', 'Friedrich August Rudolph Kolenati', 'Günther Schwab', 'Alice Rühle-Gerstel', 'Alfred Grünfeld', 'Franz Anton von Kolowrat-Liebsteinsky', 'Eduard Clam-Gallas', 'Baron Raimund von Stillfried', 'Friedrich Wilhelm Scanzoni von Lichtenfels', 'Franz Anton von Gerstner', 'Samuel Siegfried Karl von Basch', 'Maria-Elisabeth Schaeffler', 'Zdeněk Fiala', 'Václav Havel', 'Josef Ludvik Fischer', 'Luděk Pachman', 'Kilián Ignaz Dientzenhofer', 'Václav Klaus', 'Martina Navratilova', 'Vladimír Franz', 'Adam Muraszko', 'Alice Herz-Sommer', 'Zecharias Frankel', 'Baruch Jeitteles', 'Oswald von Thun und Hohenstein', 'Wilhelm Teuber-Weckersdorf', 'Renate Spitzner', 'Zdenko Hans Skraup', 'Karl Aloys zu Fürstenberg', 'Baron Omar Rolf von Ehrenfels', 'Karl Egon Ebert', 'Maria Eis', 'Emmerich Teuber', 'Friedrich Johann Karl Becke', 'Carl Joseph Hiernle', 'Jiří Kodet', 'Sigfried Giedion', 'Pavel Vízner', 'Joseph Alexander von Helfert', 'Leopold von Mildenstein', 'Leopold Kramer', 'Sergius Golowin', 'Jan Faktor', 'Othmar Zinke', 'Marek Kopelent', 'Dietmar Petzina', 'Pavel Dědeček', 'Ferdinand Kinsky', 'Gustav Franz Hüttig', 'Adolf Exner', 'Joseph Maria Baernreither', 'Emanuel Czuber', 'Felix Lederer', 'Herman z Pragi', 'Heinrich Porges', 'Ludwig Polzer-Hoditz', 'Alois Senefelder', 'Oldřich Vízner', 'Antonín Panenka', 'Vilém Flusser']",['Rainer Maria Rilke'],"['Rainer Maria Rilke', 'Hans Günther Adler']","['Rainer Maria Rilke', 'Hans Günther Adler', 'David Svoboda']","['Kamil Zvelebil', 'Miroslav Votava', 'Josef Jungmann', 'Otakar Lada', 'Eduard Clam-Gallas', 'Jaromír Fausek', 'Jiří Strach', 'Tomáš Hunal', 'Tomáš Rada', 'Vladimír Bystrov', 'Pavel Vyhnal', 'Suzanne Marwille', 'Sybille Pearson', 'Václav Wasserman', 'Lothar Wallerstein', 'Carl Ferdinand Cori', 'Martina Navratilova', 'Jiří Menzel', 'Václav Klaus', 'Jiří Grossmann', 'Antonín Perner', 'David Pojkar', 'Filip Rada', 'Jiří Drtina', 'Josef Eduard Teltscher', 'Michal Dragoun', 'Michal Poletín', 'Tomáš Berger', 'Valery Knyazev', 'Jiří Kabele', 'Jiří Weiss', 'Josef Meissner', 'Marek Zvelebil', 'Wilhelm Fridolin Volkmann', 'Emanuel Czuber', 'Michal Mareš', 'Pavel Exner', 'Tomáš Vandas', 'Stanislav Gross', 'Vlastimil Tusar', 'Lea De Mae']",['Kamil Zvelebil'],"['Kamil Zvelebil', 'Miroslav Votava']","['Kamil Zvelebil', 'Miroslav Votava', 'Josef Jungmann']"
14,where was guy pnini born,['Israel'],['Tel Aviv'],['Tel Aviv'],"['Tel Aviv', 'Israeli']","['Tel Aviv', 'Israeli', 'Tel Aviv  Israel']",['Tel Aviv'],['Tel Aviv'],"['Tel Aviv', 'Israel']","['Tel Aviv', 'Israel', '1983-09-04T00:00:00']",['Israeli'],['Israeli'],"['Israeli', 'Tel Aviv  Israel']","['Israeli', 'Tel Aviv  Israel', '1983-09-04']"
15,Name a rock music album,['(One Glance Is) Holy'],['DiscoDildo'],['DiscoDildo'],"['DiscoDildo', 'Gary Williams Meets Frank Sinatra']","['DiscoDildo', 'Gary Williams Meets Frank Sinatra', 'Player Piano']",['DiscoDildo'],['DiscoDildo'],"['DiscoDildo', 'Gary Williams Meets Frank Sinatra']","['DiscoDildo', 'Gary Williams Meets Frank Sinatra', 'Player Piano']","['Six Feet Under', 'Better Days', 'Echo Echo']",['Six Feet Under'],"['Six Feet Under', 'Better Days']","['Six Feet Under', 'Better Days', 'Echo Echo']"
16,what is an album recorded by scott grimes,['Sunset Blvd (song)'],"[""Livin' on the Run""]","[""Livin' on the Run""]","[""Livin' on the Run"", 'soft rock']","[""Livin' on the Run"", 'soft rock', 'A&M Records']","[""Livin' on the Run""]","[""Livin' on the Run""]","[""Livin' on the Run"", 'soft rock']","[""Livin' on the Run"", 'soft rock', 'A&M Records']","[""Livin' on the Run""]","[""Livin' on the Run""]","[""Livin' on the Run"", 'Drive (Scott Grimes EP']","[""Livin' on the Run"", 'Drive (Scott Grimes EP', 'Sunset Blvd']"
17,what was the country of origin of the tv show sidewalks entertainment,[nan],['United States of America'],['United States of America'],['United States of America'],['United States of America'],['United States of America'],['United States of America'],['United States of America'],['United States of America'],[],[],[],[]
18,who was the architect of the structure tour perret,['Auguste Perret'],['Auguste Perret'],['Auguste Perret'],"['Auguste Perret', 'Paul Mistral']","['Auguste Perret', 'Paul Mistral']",['Auguste Perret'],['Auguste Perret'],"['Auguste Perret', 'Paul Mistral']","['Auguste Perret', 'Paul Mistral']",[],[],[],[]
19,What is an album by guy clark?,['Homegrown Tomatoes'],"['The South Coast of Texas', ""Texas Cookin'.""]",['The South Coast of Texas'],"['The South Coast of Texas', ""Texas Cookin'.""]","['The South Coast of Texas', ""Texas Cookin'."", 'Country music']","['The South Coast of Texas', ""Texas Cookin'.""]",['The South Coast of Texas'],"['The South Coast of Texas', ""Texas Cookin'.""]","['The South Coast of Texas', ""Texas Cookin'."", 'country music']",['Country music'],['Country music'],"['Country music', 'Best of Guy Clark']","['Country music', 'Best of Guy Clark', 'Guy Clark']"
20,what's the name of an Australian rock and roll,['AC/DC'],"['Juggernaut', 'The Other Side', ""Daddy's Coolest"", 'Gossip', 'Four Four', 'Leisure Panic!.', 'Demon Flower', 'Twenty Four Seven']",['Juggernaut'],"['Juggernaut', 'The Other Side']","['Juggernaut', 'The Other Side', ""Daddy's Coolest""]","['ABC', 'Jim Morrison']",['ABC'],"['ABC', 'Jim Morrison']","['ABC', 'Jim Morrison', 'Anastacia']","['Juggernaut', 'The Other Side', ""Daddy's Coolest"", 'Gossip', 'Four Four', 'Leisure Panic!.', 'Demon Flower', 'Twenty Four Seven']",['Juggernaut'],"['Juggernaut', 'The Other Side']","['Juggernaut', 'The Other Side', ""Daddy's Coolest""]"
21,what is the category of the celestial object 1241 dysona,['Km'],['Sun'],['Sun'],"['Sun', 'astronomical']","['Sun', 'astronomical', 'asteroid belt']",['Sun'],['Sun'],"['Sun', 'astronomical']","['Sun', 'astronomical', 'asteroid belt']",[],[],[],[]
22,What is a type of gameplay available to gamers playing custom robo v2,['Single-player video game'],['Multiplayer'],['Multiplayer'],"['Multiplayer', 'multiplayer']","['Multiplayer', 'multiplayer', 'gamepad']","['multiplayer', 'gamepad']",['multiplayer'],"['multiplayer', 'gamepad']","['multiplayer', 'gamepad', 'action role-playing game']",['Multiplayer'],['Multiplayer'],"['Multiplayer', 'Single-player']","['Multiplayer', 'Single-player', 'Action role-playing game']"
23,where was shigeyasu suzuki's place of birth,[nan],['Tokyo'],['Tokyo'],"['Tokyo', 'Japan']","['Tokyo', 'Japan', '1886-09-01']",['Tokyo'],['Tokyo'],"['Tokyo', 'Japan']","['Tokyo', 'Japan', '1925-04-27T00:00:00Z. The place of death of Shigeyasu Suzuki is Hōfu']",['1886-09-01'],['1886-09-01'],"['1886-09-01', 'Ishikawa prefecture  Japan']","['1886-09-01', 'Ishikawa prefecture  Japan', 'jpn']"
24,which indian city was fazil born in,['Alappuzha'],['Alappuzha'],['Alappuzha'],"['Alappuzha', 'Alappuzha  Kerala']","['Alappuzha', 'Alappuzha  Kerala', 'Mumbai']",['Alappuzha'],['Alappuzha'],"['Alappuzha', 'Bangalore']","['Alappuzha', 'Bangalore', '1953-01-01']",['Alappuzha  Kerala'],['Alappuzha  Kerala'],"['Alappuzha  Kerala', 'Mumbai']","['Alappuzha  Kerala', 'Mumbai', '1982-08-08']"
25,where was paolo de la haza born?,['Lima'],['Lima'],['Lima'],"['Lima', 'Peru']","['Lima', 'Peru', '1983']",['Lima'],['Lima'],"['Lima', 'Peru']","['Lima', 'Peru', '1983']","['Peru', 'Lima']",['Peru'],"['Peru', 'Lima']","['Peru', 'Lima', '1983-11-30']"
26,Which film was directed by ian iqbal rashid,['Touch of Pink'],['How She Move'],['How She Move'],"['How She Move', 'Touch of Pink']","['How She Move', 'Touch of Pink']",['How She Move'],['How She Move'],"['How She Move', 'Touch of Pink']","['How She Move', 'Touch of Pink']",['Touch of Pink'],['Touch of Pink'],"['Touch of Pink', 'How She Move']","['Touch of Pink', 'How She Move']"
27,who recorded rca records,['2055 (song)'],"['David Ball', 'George Jones', 'Aaron Lines', 'Eddie London', 'Randy Owen']",['David Ball'],"['David Ball', 'George Jones']","['David Ball', 'George Jones', 'Aaron Lines']","['David Ball', 'George Jones', 'Aaron Lines', 'Eddie London', 'Randy Owen']",['David Ball'],"['David Ball', 'George Jones']","['David Ball', 'George Jones', 'Aaron Lines']",['Emile Berliner'],['Emile Berliner'],"['Emile Berliner', 'Eldridge R. Johnson']","['Emile Berliner', 'Eldridge R. Johnson', 'Tear Drop City']"
28,What is a gampelay mode found in the game allegiance,['Multiplayer video game'],"['action of loyalty', 'Fides', 'GameZone of Allegiance', '8.7', 'PCZone of Allegiance']",['action of loyalty'],"['action of loyalty', 'Fides']","['action of loyalty', 'Fides', 'GameZone of Allegiance']","['action of loyalty', 'Fides']",['action of loyalty'],"['action of loyalty', 'Fides']","['action of loyalty', 'Fides']","['GameZone of Allegiance', '8.7', 'PCZone of Allegiance']",['GameZone of Allegiance'],"['GameZone of Allegiance', '8.7']","['GameZone of Allegiance', '8.7', 'PCZone of Allegiance']"
29,Which films has leonid gaidai written,['Bootleggers (1961 film)'],"['The Twelve Chairs', 'Kidnapping  Caucasian Style', ""Operation Y and Other Shurik's Adventures"", 'Dog Barbos and Unusual Cross']",['The Twelve Chairs'],"['The Twelve Chairs', 'Kidnapping  Caucasian Style']","['The Twelve Chairs', 'Kidnapping  Caucasian Style', ""Operation Y and Other Shurik's Adventures""]","['The Twelve Chairs', 'Kidnapping  Caucasian Style', 'The Diamond Arm', ""Operation Y and Other Shurik's Adventures"", 'Dog Barbos and Unusual Cross']",['The Twelve Chairs'],"['The Twelve Chairs', 'Kidnapping  Caucasian Style']","['The Twelve Chairs', 'Kidnapping  Caucasian Style', 'The Diamond Arm']",['White Whales'],['White Whales'],"['White Whales', 'The Diamond Arm']","['White Whales', 'The Diamond Arm']"
30,What is shinji mori's gender?,[nan],['male'],['male'],"['male', 'Morita']","['male', 'Morita', 'Shinji']",['male'],['male'],"['male', 'Morita']","['male', 'Morita', 'Shinji']",['Okayama'],['Okayama'],"['Okayama', '1974-09-12']","['Okayama', '1974-09-12', '1957-05-22']"
31,what style of msuic did john pizzarelli play,['Jazz'],['Jazz'],['Jazz'],"['Jazz', 'Guitar']","['Jazz', 'Guitar', 'Meets the Beatles']",['Meets the Beatles'],['Meets the Beatles'],"['Meets the Beatles', 'swing music']","['Meets the Beatles', 'swing music']",['Jazz'],['Jazz'],"['Jazz', 'Guitar']","['Jazz', 'Guitar', 'Swing']"
32,what is trond egil soltvedt's birth place,['Norway'],"['Voss', 'Norway']",['Voss'],"['Voss', 'Norway']","['Voss', 'Norway', 'Soltvedt']",['Voss'],['Voss'],"['Voss', 'Soltvedt']","['Voss', 'Soltvedt', '1967-02-15']","['Voss', 'Norway']",['Voss'],"['Voss', 'Norway']","['Voss', 'Norway', '1967-02-15']"
33,what series is super mario bros. 2 a part of,['Super Mario'],['platform game'],['platform game'],"['platform game', 'The Lost Levels']","['platform game', 'The Lost Levels', 'Super Mario All-Stars']",['platform game'],['platform game'],"['platform game', 'The Lost Levels']","['platform game', 'The Lost Levels', 'Super Mario All-Stars']",['Platform game'],['Platform game'],"['Platform game', 'Super Mario']","['Platform game', 'Super Mario', 'The JXV']"
34,what disease did anthony perkins die of,[nan],['pneumonia'],['pneumonia'],"['pneumonia', 'natural causes']","['pneumonia', 'natural causes', '1992-09-12']",['pneumonia'],['pneumonia'],"['pneumonia', 'natural causes']","['pneumonia', 'natural causes', 'Hollywood']",['1992-09-12'],['1992-09-12'],['1992-09-12'],['1992-09-12']
35,what is the mouth of the schuylkill river,['Delaware River'],"['Philadelphia', 'Pennsylvania']",['Philadelphia'],"['Philadelphia', 'Pennsylvania']","['Philadelphia', 'Pennsylvania', 'United States']","['Delaware River', 'French Creek', 'Valley Creek', 'Tulpehocken Creek', 'Wyomissing Creek']",['Delaware River'],"['Delaware River', 'French Creek']","['Delaware River', 'French Creek', 'Valley Creek']","['Allegheny Creek', 'Philadelphia', 'Pennsylvania']",['Allegheny Creek'],"['Allegheny Creek', 'Philadelphia']","['Allegheny Creek', 'Philadelphia', 'Pennsylvania']"
36,Which genre of book is bin laden: the man who declared war on america?,[nan],['Messages to the World'],['Messages to the World'],"['Messages to the World', 'Deadly conspiracy']","['Messages to the World', 'Deadly conspiracy', 'Moral considerations']","['Deadly conspiracy', 'Moral considerations', 'More']",['Deadly conspiracy'],"['Deadly conspiracy', 'Moral considerations']","['Deadly conspiracy', 'Moral considerations', 'More']",['Messages to the World'],['Messages to the World'],"['Messages to the World', 'Sayyid Qutb']","['Messages to the World', 'Sayyid Qutb']"
