"Question";"First 3 Words";"Last 3 Words"
"What is the common university of vanderbilt Commodores and also the college of hubert Wiggs?";"What is the";" of hubert Wiggs?"
"Who is the animator of Tommy Tucker's Tooth ?";"Who is the";" Tucker's Tooth ?"
"How many developers have worked on games of the Oddworld series?";"How many developers";" the Oddworld series?"
"Which executive producer of the ultimate merger is also an important person at Trump Productions?";"Which executive producer";" at Trump Productions?"
"Name the TV show with distributor as Broadcast syndication and has theme music composed by Primus?";"Name the TV";" composed by Primus?"
"How many kinds of games can be played on the Amiga?";"How many kinds";" on the Amiga?"
"What are some video games whose music is composed by an employ of the company Creatures?";"What are some";" the company Creatures?"
"Which is the common past team of the Charlie Justice (American football player) and Bobby Hoppe ?";"Which is the";" Bobby Hoppe ?"
"List the science fiction shows broadcasted on BBC HD?";"List the science";" on BBC HD?"
"Where was the battle fought where 2nd Foreign Infantry Regiment participated?";"Where was the";" Infantry Regiment participated?"
"List of people who were the first one to ascend a mountain in the Cathedral range?";"List of people";" the Cathedral range?"
"The successor of Ellsworth Bunker belongs to which region?";"The successor of";" to which region?"
"What team did Dan Daoust and Don Ashby play for?";"What team did";" Ashby play for?"
"Was Elizabeth Ann Seton canonized by Pope Paul VI?";"Was Elizabeth Ann";" Pope Paul VI?"
"From which team did Marv McFadden played?";"From which team";" Marv McFadden played?"
"Which actors have performed in plays performed in New York?";"Which actors have";" in New York?"
"Which workplace of the Michael M. Sears is also the  governing body of the Burro Flats Painted Cave?";"Which workplace of";" Flats Painted Cave?"
"Which mascot of Seneca Academy is also the species of The Fox and the Cat ?";"Which mascot of";" the Cat ?"
"What are all the religions that have been followed by the Sir Lankan attorneys?";"What are all";" Sir Lankan attorneys?"
"In which areas can we find the networks owned by the govt of Mauritius?";"In which areas";" govt of Mauritius?"
"Who owns the company that made the Edsel Villager?";"Who owns the";" the Edsel Villager?"
"Was Citizen Kane cinematographed by Gregg Toland?";"Was Citizen Kane";" by Gregg Toland?"
"Where did the athlete start his career, who did his highschool in Red Lion Area School District?";"Where did the";" Area School District?"
"What is a common ingredient used in boyt Blodpalt and Kaszanka ?";"What is a";" and Kaszanka ?"
"Name the hockey team whose head coach is Alain Vigneault?";"Name the hockey";" is Alain Vigneault?"
"What are some islands in the bahamas?";"What are some";" in the bahamas?"
"Which statesman is married to Dolley Madison?";"Which statesman is";" to Dolley Madison?"
"Name the line of the Vadodara Junction railway station which is also the hub airport of the Pawan Hans?";"Name the line";" the Pawan Hans?"
"What monument was unveiled in 1984 of fine arts of the Soviet Union ?";"What monument was";" Soviet Union ?"
"Name the series of Doctor Who: Evacuation Earth ?";"Name the series";" Evacuation Earth ?"
"Who are the associate musical artists of Dalma Kovcs?";"Who are the";" of Dalma Kovcs?"
"How many people have worked for teams chaired by Patricia Amorim?";"How many people";" by Patricia Amorim?"
"What are the source of the streams whose one of the source is Calera, Oklahoma?";"What are the";" is Calera, Oklahoma?"
"What ethnicity do people in British Columbia belong to?";"What ethnicity do";" Columbia belong to?"
"What are the movies produced by Michael Deeley?";"What are the";" by Michael Deeley?"
"What are the academic interest of Philip Novak?";"What are the";" of Philip Novak?"
"In all the states which have a Uniontown, where does a Keller's mill covered bridge exist too?";"In all the";" bridge exist too?"
"Who served as a governor of Indiana Territory?";"Who served as";" of Indiana Territory?"
"Name some relatives of the people studied in Manurewa High School?";"Name some relatives";" Manurewa High School?"
"What is the mouth mountain of Current River (Missouri)?";"What is the";" Current River (Missouri)?"
"What is the common branch of military of Edward Joseph Schwartz  and John Tower ?";"What is the";" John Tower ?"
"Name the musical artists whose label is given by Kobalt Label Services?";"Name the musical";" Kobalt Label Services?"
"What beverages originate in Leuven?";"What beverages originate";" originate in Leuven?"
"Which distributer of Glover (video game) is also the publisher of the Super Mario Adventures ?";"Which distributer of";" Mario Adventures ?"
"What is the citizenship of Saima Chowdhury?";"What is the";" of Saima Chowdhury?"
"List the software which runs on Microsoft Windows and has license as Software as a service?";"List the software";" as a service?"
"What show has theme music composer as Ron Grainer and at the same time is related to Class (2016 TV series)?";"What show has";" (2016 TV series)?"
"What is the game whose genre is Mind sport?";"What is the";" is Mind sport?"
"In which country is the Chapelle Saint-Louis de Carthage located?";"In which country";" de Carthage located?"
"What cities does the river goes through, whose tributary is the little black river in Arkansas?";"What cities does";" river in Arkansas?"
"What is the death place of the Elbieta Czartoryska which is also place of birth of the Charles Journet";"What is the";" the Charles Journet"
"Which countries share a similar sociocultural and ethnic heritage of that of Native Indonesians?";"Which countries share";" of Native Indonesians?"
"Elizabeth Alexander and Jared Bernstein served under which Vice President?";"Elizabeth Alexander and";" which Vice President?"
"What are the movies whose director of photography is Jordan Cronenweth?";"What are the";" is Jordan Cronenweth?"
"Count the different places where the people died, who were born in England?";"Count the different";" born in England?"
"The president served by Haqqi al-Azm died where?";"The president served";" al-Azm died where?"
"Which veterans served at CBS?";"Which veterans served";" served at CBS?"
"Who was buried at St. Mary's Church and fought the battle of Benedict Arnold's expedition to Quebec ?";"Who was buried";" to Quebec ?"
"Is Trevor Peacock the narrator of Fred Claus?";"Is Trevor Peacock";" of Fred Claus?"
"What musician is often associated with Tiffany Villarreal and wrote Same Song?";"What musician is";" wrote Same Song?"
"Was Marshall Arisman the cover artist in american psycho?";"Was Marshall Arisman";" in american psycho?"
"How many people have been the first one to scale a peak in the Yosemite Park?";"How many people";" the Yosemite Park?"
"Which river flows through Central Washington?";"Which river flows";" through Central Washington?"
"Name the debut team of Dan Otero?";"Name the debut";" of Dan Otero?"
"Which composer of Motorpsycho Nitemare has also composed The time are A-Changing?";"Which composer of";" time are A-Changing?"
"For how many things are americans famous for?";"For how many";" americans famous for?"
"What is the home town of the band which is the artist of Your Ice Cream's Dirty ?";"What is the";" Cream's Dirty ?"
"Who produces the trains operated by the MTR?";"Who produces the";" by the MTR?"
"List the associates of bands which have a label by Motown ?";"List the associates";" by Motown ?"
"Where is Emmett Hughes from?";"Where is Emmett";" Emmett Hughes from?"
"Where does Truman McGill Hobbs, United States District Judge live?";"Where does Truman";" District Judge live?"
"Wringer (novel) and Maniac Magee is the notable work of which author?";"Wringer (novel) and";" of which author?"
"Name the mascot of the military branch of William Harper.";"Name the mascot";" of William Harper."
"Give me a count of airlines whose hub airport is Los Angeles International Airport?";"Give me a";" Angeles International Airport?"
"How many states are in the Mediterranean Basketball Association?";"How many states";" Mediterranean Basketball Association?"
"For which common president did Jim Sasser and Mike McCurry work?";"For which common";" Mike McCurry work?"
"Which sports are played in the alma mater of Habib Boromand Dashghapu?";"Which sports are";" Habib Boromand Dashghapu?"
"How many people have parterned with the person choroegraphed by Catarina Lindgren in the past?";"How many people";" in the past?"
"Which movies have their music composed by someone that signed up with RCA Records?";"Which movies have";" with RCA Records?"
"How many religions have the relatives of waxiangs followed?";"How many religions";" of waxiangs followed?"
"List some writers which speak one of the Germanic languages.";"List some writers";" the Germanic languages."
"What awards are won by the screenwriter of Lucky You?";"What awards are";" of Lucky You?"
"Is north america one of the destinations of airtours airways?";"Is north america";" of airtours airways?"
"What companies are located in toronto?";"What companies are";" located in toronto?"
"Who has recorded their singles in London?";"Who has recorded";" singles in London?"
"List the served region of the organisations of Trade association.";"List the served";" of Trade association."
"What is the religion of the academic authority on Ceratosoma tenue?";"What is the";" on Ceratosoma tenue?"
"Name the common alma mater of the Henry Morton Dexter and Jack McGregor.";"Name the common";" and Jack McGregor."
"Was Elton John a chairman of a Watford FC Season?";"Was Elton John";" Watford FC Season?"
"Was the first national bank and trust building architectured by Chicago?";"Was the first";" architectured by Chicago?"
"Is Gutenberg neighbouring with Madiswil?";"Is Gutenberg neighbouring";" neighbouring with Madiswil?"
"Does AMC Gremlin have the Volkswagen engine?";"Does AMC Gremlin";" the Volkswagen engine?"
"Who is the stockholder of the road tunnels operated by the Massachusetts Department of Transportation?";"Who is the";" Department of Transportation?"
"what has been developed by John Fanning?";"what has been";" by John Fanning?"
"What is the municipality of Patterson Houses?";"What is the";" of Patterson Houses?"
"List the relatives of the governor of Gabriel Slaughter?";"List the relatives";" of Gabriel Slaughter?"
"What are the common sports played by jamiatu Muslim mindanao and Polytechnic University of Philippines Taguig ?";"What are the";" Philippines Taguig ?"
"Count the tenants of the stadiums designed by Populous?";"Count the tenants";" designed by Populous?"
"Was John Muir the first one to ascend one of the peaks in the cathedral peak?";"Was John Muir";" the cathedral peak?"
"List all the houses of United States Congress ?";"List all the";" States Congress ?"
"Count the total number of bacterias whose division is Firmicutes and domain is Bacteria?";"Count the total";" domain is Bacteria?"
"List the awards given to the relatives of Gregorios Bernardakis.";"List the awards";" of Gregorios Bernardakis."
"Where is the grave of Ivan III of Russia ?";"Where is the";" of Russia ?"
"To which educational institutes is Samuel Isham associated to?";"To which educational";" Isham associated to?"
"What are the cities around the sea which flows into the Atlantic?";"What are the";" into the Atlantic?"
"What is the citizenship of Erastus Wiman?";"What is the";" of Erastus Wiman?"
"From how many coutries do companies come, which are headquartered in the Klang Valley?";"From how many";" the Klang Valley?"
"In which language is All I need is Your Sweet lovin written ?";"In which language";" lovin written ?"
"In how many places can I find tombs of people who fought in the Norwalk Trainband?";"In how many";" the Norwalk Trainband?"
"What writers have nationality as Statelessness?";"What writers have";" nationality as Statelessness?"
"Name the scientist whose doctoral supervisor's doctoral student is John Bowlby?";"Name the scientist";" is John Bowlby?"
"What are some common surnames of female people?";"What are some";" of female people?"
"To which destinations does Air 2000 fly?";"To which destinations";" Air 2000 fly?"
"What is the source location of Thornton Creek ?";"What is the";" Thornton Creek ?"
"What mammals are classified into Diprotodontia ?";"What mammals are";" into Diprotodontia ?"
"What is the birth place of the successor of Ella T. Grasso ?";"What is the";" T. Grasso ?"
"List the scientists whose doctoral advisor is Ernest Rutherford and are known for Manhattan Project?";"List the scientists";" for Manhattan Project?"
"Which television show's theme music composer is Gary Portnoy and subsequent work is Frasier?";"Which television show's";" work is Frasier?"
"List the music of Open House (American Horror Story)?";"List the music";" (American Horror Story)?"
"What are some other destinations covered by the airlines whose flights go to the Mediterranean sea?";"What are some";" the Mediterranean sea?"
"Give me a count of musicians who play an instrument developed by George Beauchamp?";"Give me a";" by George Beauchamp?"
"Where does the rail route, which ends at the Moskovsky station, begins?";"Where does the";" Moskovsky station, begins?"
"What are the airlines whose hub is San Francisco International Airport?";"What are the";" Francisco International Airport?"
"What genres of games are available on the Commodore 64?";"What genres of";" the Commodore 64?"
"Which director of On deadly Ground also released Mojo Priest?";"Which director of";" released Mojo Priest?"
"Which company founded by Fusajiro Yamauchi also provides services of Nintendo eShop ?";"Which company founded";" Nintendo eShop ?"
"What is the political party to which Purnima Banerjee is a member of??";"What is the";" a member of??"
"Name the artist of Brad Paisley discography ?";"Name the artist";" Paisley discography ?"
"Who works at the American Magazine and New York Post?";"Who works at";" New York Post?"
"Who is the licensee of EXXV-TV ?";"Who is the";" of EXXV-TV ?"
"Name the university of Alexandre Tichonov?";"Name the university";" of Alexandre Tichonov?"
"How many bands are based in London?";"How many bands";" based in London?"
"How many companies were founded in places where Dallas is the governing body ?";"How many companies";" governing body ?"
"Is Giorgos Kaminis the mayor of Athens?";"Is Giorgos Kaminis";" mayor of Athens?"
"Which company developed both Dart and Go?";"Which company developed";" Dart and Go?"
"What is the former team of the american football players whose position is Running back?";"What is the";" is Running back?"
"Name the TV show whose composer is Judy Hart Angelo and company as Paramount Television ?";"Name the TV";" Paramount Television ?"
"In how many places airlines that go to the mediterranean sea go?";"In how many";" mediterranean sea go?"
"Which founding cities of Young Americans Bank is also the location of Denver Broncos ?";"Which founding cities";" Denver Broncos ?"
"Is Anne Hidalgo the mayor of Paris?";"Is Anne Hidalgo";" mayor of Paris?"
"Who is the musician of Before I let you Go ?";"Who is the";" you Go ?"
"Name the fictional character whose voice's animator is Hardie Gramatky?";"Name the fictional";" is Hardie Gramatky?"
"Which officers fought in the war of Siege of Fort Recovery?";"Which officers fought";" of Fort Recovery?"
"Name the billed states of the wrestlers who have also billed state Georgia?";"Name the billed";" billed state Georgia?"
"In how many nations can I find dishes made of Shallot?";"In how many";" made of Shallot?"
"What actor of Le Cirque is a relative of Maryanne Trump barry?";"What actor of";" Maryanne Trump barry?"
"Which colonel consort is Dolley Madison?";"Which colonel consort";" is Dolley Madison?"
"Carl Sagan has penned books on how many matters?";"Carl Sagan has";" how many matters?"
"Which nation hosts the WTA Tour Championships?";"Which nation hosts";" WTA Tour Championships?"
"Which company ownes stock in Dagenham turbines and Ford Motor credit?";"Which company ownes";" Ford Motor credit?"
"What kind of things are on the radio stations affiliated with the Baltimore Ravens?";"What kind of";" the Baltimore Ravens?"
"Give me some shows related to the ones created by Russell Davies";"Give me some";" by Russell Davies"
"Which nation's engineers have graduated in Poland?";"Which nation's engineers";" graduated in Poland?"
"List the pole drivers in the grand prixes where Williams Grand Prix Engineering was a first team?";"List the pole";" a first team?"
"Which TV show's producer is Stephen E. Ambrose and company is DreamWorks Television?";"Which TV show's";" is DreamWorks Television?"
"Which are the television show which have been created by Donald Wilson?";"Which are the";" by Donald Wilson?"
"With whom were the engagements of Alpine Brigade Taurinense?";"With whom were";" Alpine Brigade Taurinense?"
"What is the common place where USS Camp DE-251 was built, and is one of the destinations of Emerald Air?";"What is the";" of Emerald Air?"
"What was the result of Operation Autumn Clouds?";"What was the";" Operation Autumn Clouds?"
"List some pupils of National Science Medal winning scientists?";"List some pupils";" Medal winning scientists?"
"What are the party of the politicians whose deputy was Chaudhary Devi Lal?";"What are the";" Chaudhary Devi Lal?"
"Where are the cooper mountain vineyards and Mt. bachelor ski area located?";"Where are the";" ski area located?"
"In how many places has Garbage recorded their songs?";"In how many";" recorded their songs?"
"Who is the owner of Ford Motor Credit comapny which is also the builder of FORD SHO V8 engine ?";"Who is the";" V8 engine ?"
"What is the profession of the children of Herbert Pell ?";"What is the";" Herbert Pell ?"
"Enumerate all those who are in the board of companies founded in New York?";"Enumerate all those";" in New York?"
"Which alma mater of angela Trusty is also the training center of David Scherman?";"Which alma mater";" of David Scherman?"
"How many things are aired on BBC HD?";"How many things";" on BBC HD?"
"Is Esther Alder the mayor of Geneva?";"Is Esther Alder";" mayor of Geneva?"
"Which source of broad creek is the Audenried tunnel located?";"Which source of";" Audenried tunnel located?"
"Was the song The Boy is Mine recorded in Atlanta?";"Was the song";" recorded in Atlanta?"
"What sport is Eric Schiller known for, and employes Craig Van Tibury?";"What sport is";" Craig Van Tibury?"
"How many factions were involved in the battles fought by Arthur St. Clair?";"How many factions";" Arthur St. Clair?"
"Name the movies directed by Stanley Kubrick and edited by Anthony Harvey?";"Name the movies";" by Anthony Harvey?"
"How many people have played for the ones who own the stadium of Bankers Life Fieldhouse?";"How many people";" Bankers Life Fieldhouse?"
"Joe Shuster has created how many comics character ?";"Joe Shuster has";" comics character ?"
"Where is the gold coast football club located?";"Where is the";" football club located?"
"How many people are buried in the Mausoleum of Augustus?";"How many people";" Mausoleum of Augustus?"
"Whose mam is Bertrada of Laon?";"Whose mam is";" Bertrada of Laon?"
"Which former team of Franois Beauchemin does the Nathan Dempsey played for?";"Which former team";" Dempsey played for?"
"Does GeneWeb have the GPL license?";"Does GeneWeb have";" the GPL license?"
"What is the currency of Kerguelen Islands?";"What is the";" of Kerguelen Islands?"
"Which company's cars are assembled in Colombia?";"Which company's cars";" assembled in Colombia?"
"Where all does the sister station of virgin radio play?";"Where all does";" virgin radio play?"
"What is the awards given to the horse whose grandson is the famous Counterpoint?";"What is the";" the famous Counterpoint?"
"Who are the associated musical artist of the artists of band Shorty Rogers?";"Who are the";" band Shorty Rogers?"
"Who are some US colonels?";"Who are some";" some US colonels?"
"Who is the chancellor of Falmouth University ?";"Who is the";" Falmouth University ?"
"Name the TV show distributed by Broadcast Syndication and is broadcasted by comedy central?";"Name the TV";" by comedy central?"
"Where does the river begin whose left tributary is Krapanski Potok?";"Where does the";" is Krapanski Potok?"
"Which owner of Chelsea FC also owns Evraz ?";"Which owner of";" owns Evraz ?"
"Who produced wizards vs aliens?";"Who produced wizards";" wizards vs aliens?"
"What is the programme format of WWTR?";"What is the";" format of WWTR?"
"List the races of Fergie Sutherland?";"List the races";" of Fergie Sutherland?"
"Who are the biological parents of Dannielynn Birkhead?";"Who are the";" of Dannielynn Birkhead?"
"In which city is the building, whose part is the Martin AN/FSG1 anti aircraft system?";"In which city";" anti aircraft system?"
"Which awards are presented by the committee located in Stockholm?";"Which awards are";" located in Stockholm?"
"What city is located on the mouth of Duwamish River?";"What city is";" of Duwamish River?"
"Is Audie Murphy buried in the Arlington national cementery?";"Is Audie Murphy";" Arlington national cementery?"
"In which city is the sister station of KTXY located ?";"In which city";" KTXY located ?"
"Name the sitcom with theme music composer as Julian Gingell and channel as Fox Broadcasting Company?";"Name the sitcom";" Fox Broadcasting Company?"
"Where was the predecessor of Sevan Ross born?";"Where was the";" Sevan Ross born?"
"Is Labor relations the main interest of Karl Marx?";"Is Labor relations";" of Karl Marx?"
"Name the directors of Lennon Legend: The Very Best of John Lennon (DVD)?";"Name the directors";" John Lennon (DVD)?"
"List few Swedish language movies ?";"List few Swedish";" language movies ?"
"Count everything garrisoned at the pentagon?";"Count everything garrisoned";" at the pentagon?"
"In what group Joe Jonas and Kevin Jonas were previously involved?";"In what group";" were previously involved?"
"List all the school of the rugby player whose one of the school is Michael House ?";"List all the";" Michael House ?"
"What are some team members of the team based in Camp Nou?";"What are some";" in Camp Nou?"
"What is the total number of other non-fiction subject of the books whose one of the subject is Racism?";"What is the";" subject is Racism?"
"Who created the world series of Poker?";"Who created the";" series of Poker?"
"Which royalty was married to ptolemy XIII Theos Philopator and had mother named Cleopatra V?";"Which royalty was";" named Cleopatra V?"
"Which major shrine of Tekle haymanot is the palce of death of Haile Selassie Gugsa?";"Which major shrine";" Haile Selassie Gugsa?"
"List the country of Tokaj wine region?";"List the country";" Tokaj wine region?"
"How many veterans are buried in the US?";"How many veterans";" in the US?"
"Count all the band members who are in Bands which have signed up with Entertainment One Music?";"Count all the";" Entertainment One Music?"
"To how many different species does the members of the Animal Kingdom belong?";"To how many";" Animal Kingdom belong?"
"In how many places can I find people who were the architects of the Dundas Castle?";"In how many";" the Dundas Castle?"
"Where do I find buildings rented by Weber Thompson?";"Where do I";" by Weber Thompson?"
"List the relatives of clay Aiken ?";"List the relatives";" clay Aiken ?"
"Who have done their PhDs under a National Medal of Science winner?";"Who have done";" of Science winner?"
"Martin Ferguson and Mike Kelly served under which aussie PM?";"Martin Ferguson and";" which aussie PM?"
"Who is starring in the movies written by Mark Sandrich ?";"Who is starring";" Mark Sandrich ?"
"Count the number of important works done by the writer of The Second Coming?";"Count the number";" The Second Coming?"
"What are the resting places of the associates of John Bett, Connecticut politician?";"What are the";" Bett, Connecticut politician?"
"Who has authored books published by the Perkins school for the Blind?";"Who has authored";" for the Blind?"
"How many major shrine are there, of the saints whose beatified by Pope Pius XI?";"How many major";" Pope Pius XI?"
"Name the movies distributed by Cinema International Corporation and edited by Hulian Doyle ?";"Name the movies";" Hulian Doyle ?"
"What is the religion of the member of parliament who is a relative of Sarathchandra Rajakaruna?";"What is the";" of Sarathchandra Rajakaruna?"
"What is the religion of the president who won the Mongolian legislative election, 2004 ?";"What is the";" election, 2004 ?"
"Which party has come in power at both Balangir and Amaravila in india?";"Which party has";" Amaravila in india?"
"Which band's past member are Joe Jonas and Nick Jonas?";"Which band's past";" and Nick Jonas?"
"Does chicago own the washington station on the CTA Blue Line?";"Does chicago own";" CTA Blue Line?"
"Is tahiti in the Society Islands achipelago?";"Is tahiti in";" Society Islands achipelago?"
"What are some rivers over which there is a box girder bridge?";"What are some";" box girder bridge?"
"Who is the designer of Saleen S5S Raptor?";"Who is the";" Saleen S5S Raptor?"
"Which assembly of the Plymouth Savoy is the route end of the NorthSouth Transport Corridor?";"Which assembly of";" NorthSouth Transport Corridor?"
"What awards were given to the screenplayer of The Motorcycle Diaries?";"What awards were";" The Motorcycle Diaries?"
"Who founded the league which was won by Joe McKeehen?";"Who founded the";" by Joe McKeehen?"
"What is the home ground of the clubs managed by Ciao Zanardi?";"What is the";" by Ciao Zanardi?"
"List the people who were the first one to climb a mountain in California?";"List the people";" mountain in California?"
"What is the religion of the governors whose office is the Bank of Thailand?";"What is the";" Bank of Thailand?"
"Who starred in Awakening and fifety five days at peknig ?";"Who starred in";" at peknig ?"
"Was Tim Gunn a guest on The Broken Code?";"Was Tim Gunn";" The Broken Code?"
"Where are the movies directed by Faisal Aman Khan recorded?";"Where are the";" Aman Khan recorded?"
"Name the television show whose voice is given by April Stewart and it's distributor is Broadcast syndication?";"Name the television";" is Broadcast syndication?"
"How many relatives are there of people fought in the Battle of the Bulge?";"How many relatives";" of the Bulge?"
"List the ingredients of Kaszanka?";"List the ingredients";" ingredients of Kaszanka?"
"Which planet was first discovered by Johann Gottfried Galle?";"Which planet was";" Johann Gottfried Galle?"
"What state has a Brideun School for Exception Children and is the birthplace of B J Crombeen?";"What state has";" B J Crombeen?"
"Which school jack mcGregor attended which was also the training center of William Anthony?";"Which school jack";" of William Anthony?"
"Name few television shows's anchored by Ryan Seacrest?";"Name few television";" by Ryan Seacrest?"
"To which political party does Virendra Kataria belongs?";"To which political";" Virendra Kataria belongs?"
"What is the place where the mayor's wife is Jean-Marc Germain?";"What is the";" is Jean-Marc Germain?"
"Was the Model K designed by Herny Ford?";"Was the Model";" by Herny Ford?"
"Which route start of Moscow-Kazan high-speed railway is the home stadium of 2011-12 FC Spartak Moscow ?";"Which route start";" Spartak Moscow ?"
"Whose band members are known to play a PRS guitar?";"Whose band members";" a PRS guitar?"
"List all the artist of the TV shows which has McClain as one of the artist ?";"List all the";" the artist ?"
"Where did the relatives of Gustavo Rojas Pinilla study?";"Where did the";" Rojas Pinilla study?"
"Name the people whose academic advisor has also mentored the thesis of Alexius Meinong?";"Name the people";" of Alexius Meinong?"
"What do craig Van tilbury and karen Grigorian do for a living?";"What do craig";" for a living?"
"Which founder of European School, Karlsruhe is also the jurisdiction of the European Border of Coast guard?";"Which founder of";" of Coast guard?"
"Where are the shrines of the saints who were beatified by Pope Pius XI?";"Where are the";" Pope Pius XI?"
"List the home town of the people who have Ontario as one of it ?";"List the home";" of it ?"
"Is Luigi Brugnaro the mayor of Venice?";"Is Luigi Brugnaro";" mayor of Venice?"
"List things developed by Autoconf ?";"List things developed";" by Autoconf ?"
"Who all play for of the american football players at Quarterback position?";"Who all play";" at Quarterback position?"
"What are the houses of the Parliament Security Services and Parliament of India?";"What are the";" Parliament of India?"
"What is the nationality of Sune Agerschou ?";"What is the";" Sune Agerschou ?"
"Is semnani one of the languages spoken in Iran?";"Is semnani one";" spoken in Iran?"
"List all the operators of the train who operates in Budapest ?";"List all the";" in Budapest ?"
"Who all are known to play the Gibson Guitar Corporation?";"Who all are";" Gibson Guitar Corporation?"
"Is the chestnut white bellied rat a mammal?";"Is the chestnut";" rat a mammal?"
"What is the district of Methodist Central Hall Westminster ?";"What is the";" Hall Westminster ?"
"What is the television show whose cast members are Jeff Conaway and Jason Carter?";"What is the";" and Jason Carter?"
"What is the citizenship of Ren Romano ?";"What is the";" Ren Romano ?"
"What is the style of architecture of South Loop Printing House District?";"What is the";" Printing House District?"
"What is the university attended by the baseball player who's known for Olin Corporation?";"What is the";" for Olin Corporation?"
"Is William H Blanchard buried in Colorado?";"Is William H";" buried in Colorado?"
"In which states does the river flow whose left tributary is Toms Creek?";"In which states";" is Toms Creek?"
"What is the company that has products with Windows RT as its OS?";"What is the";" as its OS?"
"Where did the wrestler trained by Ring of Honour get billed?";"Where did the";" Honour get billed?"
"Who is a religious figure titled superior general?";"Who is a";" titled superior general?"
"What awards were given to the producer of Chicken Little?";"What awards were";" of Chicken Little?"
"List the spanish football player in the New York City FC?";"List the spanish";" York City FC?"
"What country did the successor of William Ofori Atta swear his oath to?";"What country did";" his oath to?"
"Which football teams is Shahid Khan proprietor to?";"Which football teams";" Khan proprietor to?"
"Where is Benjamin Franklin Terry buried, and US Route 59 has a junction?";"Where is Benjamin";" has a junction?"
"What is the name of the river whose mouth country is Mozambique and source region is North-Western Province, Zambia?";"What is the";" North-Western Province, Zambia?"
"What is the university to which Erica Frank went, and where Ivan Toplak was a club manager?";"What is the";" a club manager?"
"Was Buzz Williams the headcoach of the Marquette Golden Eagles mens team?";"Was Buzz Williams";" Eagles mens team?"
"Which manufacturer of the Boeing B-17 Flying fortress is the manager of burro Flats Painted Caves ?";"Which manufacturer of";" Painted Caves ?"
"Name the common serving line of Daund Junction railway station and Ujjain Junction railway station?";"Name the common";" Junction railway station?"
"Which draft team of Dale Mitchell is also the tenant of Master Card center?";"Which draft team";" Master Card center?"
"How many other architect are there of the historic places whose architect is also Stanford White ?";"How many other";" Stanford White ?"
"What is the alma mater of the actors of The God Who Wasn't There ?";"What is the";" Wasn't There ?"
"Which developer of Go was also the predecssor of X compnay?";"Which developer of";" of X compnay?"
"Has the Frank R Lillie House the Chicago architecture?";"Has the Frank";" the Chicago architecture?"
"What famous work is derived from the one whose lyrics are written by Inma Gonzales?";"What famous work";" by Inma Gonzales?"
"Who are the people who played for San Francisco 49ers?";"Who are the";" San Francisco 49ers?"
"What is the radio show created by Timoteo Jeffries, about?";"What is the";" Timoteo Jeffries, about?"
"What is the alma mater of K. Terry Dornbush?";"What is the";" K. Terry Dornbush?"
"Name the largest city of the country where the body of Amit Saigal was discovered?";"Name the largest";" Saigal was discovered?"
"Which company was the designer of South African class 11e and RENFE class 333 ?";"Which company was";" class 333 ?"
"How many companies have built concrete bridges?";"How many companies";" built concrete bridges?"
"Who has official residences at Colts Neck Township and Beverly Hills?";"Who has official";" and Beverly Hills?"
"Who appointed the governor under which Robert Witherspoon worked?";"Who appointed the";" Robert Witherspoon worked?"
"What is the colour of Red Marauder ?";"What is the";" Red Marauder ?"
"Which sitcom is broadcasted by FOX and presented by Brian Dunkleman?";"Which sitcom is";" by Brian Dunkleman?"
"How many cars are the predecessor of cars similar to the Pontiac G8?";"How many cars";" the Pontiac G8?"
"Kendall Jenner has how many relatives?";"Kendall Jenner has";" how many relatives?"
"Who is the builder of Estadio Nacional de Costa Rica and also location of Xianren Cave?";"Who is the";" of Xianren Cave?"
"What are the border of High Desert (Oregon)?";"What are the";" High Desert (Oregon)?"
"Is Ian Thorpe the bronze medalist of Swimming at the 2004 Summer Olympics  Men's 100 metre freestyle?";"Is Ian Thorpe";" 100 metre freestyle?"
"Name the rivers which originate from within Pittsburg?";"Name the rivers";" from within Pittsburg?"
"What are the movies whose director is Orson Welles?";"What are the";" is Orson Welles?"
"What are some musical artists associated with the ones signed up with EMI?";"What are some";" up with EMI?"
"Count me all the video game distributor whose parent company is Warner Bros ?";"Count me all";" Warner Bros ?"
"Who has Kelly Osbourne and Ozzy Osbourne as relatives?";"Who has Kelly";" Osbourne as relatives?"
"Who wrote a rose for emily?";"Who wrote a";" rose for emily?"
"For which team does hunter pence play for?";"For which team";" pence play for?"
"What politician's partner is Diana Taylor?";"What politician's partner";" is Diana Taylor?"
"Name the river flowing through Reading and source place as Gloucestershire?";"Name the river";" place as Gloucestershire?"
"Giorgos Kaminis is the mayor of what?";"Giorgos Kaminis is";" mayor of what?"
"Which motion picture stories were edited by Ishir Honda?";"Which motion picture";" by Ishir Honda?"
"Was andy worhol the director of the san diego surf?";"Was andy worhol";" san diego surf?"
"Who made the Y block engine and the SHO V8 engine?";"Who made the";" SHO V8 engine?"
"Where is the sister station of Al Arabiya 99 located?";"Where is the";" Arabiya 99 located?"
"Who are the people whose alumna is a part of the National Collegiate Athletic Association?";"Who are the";" Collegiate Athletic Association?"
"In which department does Raymond Baldwin work?";"In which department";" Raymond Baldwin work?"
"What are some shareholders of the bridge maintained by the Massachusetts department of transportation?";"What are some";" department of transportation?"
"What is the college of Malik Ausean which is also the college of Kyle Fuller ?";"What is the";" Kyle Fuller ?"
